Date,Frequency
2015-10-12,7
2015-10-13,6
2015-10-14,8
2015-10-15,16
2015-10-16,11
2015-10-17,4
2015-10-18,6
2015-10-19,12
2015-10-20,14
2015-10-21,10
2015-10-22,15
2015-10-23,9
2015-10-24,14
2015-10-25,18
2015-10-26,20
2015-10-27,23
2015-10-28,19
2015-10-29,5
2015-10-30,8
2015-10-31,7
2015-11-01,4
2015-11-02,20
2015-11-03,16
2015-11-04,18
2015-11-05,15
2015-11-06,25
2015-11-07,20
2015-11-08,20
2015-11-09,33
2015-11-10,20
2015-11-11,40
2015-11-12,20
2015-11-13,20
2015-11-14,36
2015-11-15,60
2015-11-16,40
2015-11-17,20
2015-11-18,20
2015-11-19,20
2015-11-20,20
2015-11-21,37
2015-11-22,25
2015-11-23,20
2015-11-24,20
2015-11-25,20
2015-11-26,18
2015-11-27,12
2015-11-28,15
2015-11-29,14
2015-11-30,21
2015-12-01,3
2015-12-02,9
2015-12-03,10
2015-12-04,6
2015-12-05,5
2015-12-06,4
2015-12-07,4
2015-12-08,5
2015-12-09,8
2015-12-10,3
