Date,Frequancy
2017-04-03,5
2017-04-04,10
2017-04-05,12
2017-04-06,6
2017-04-07,8
2017-04-08,6
2017-04-09,5
2017-04-10,15
2017-04-11,24
2017-04-12,9
2017-04-13,17
2017-04-14,18
2017-04-15,13
2017-04-16,4
2017-04-17,17
2017-04-18,21
2017-04-19,27
2017-04-20,22
2017-04-21,23
2017-04-22,14
2017-04-23,13
2017-04-24,12
2017-04-25,19
2017-04-26,28
2017-04-27,28
2017-04-28,28
2017-04-29,13
2017-04-30,24
2017-05-01,27
2017-05-02,38
2017-05-03,41
2017-05-04,41
2017-05-05,42
2017-05-06,46
2017-05-07,59
2017-05-08,36
2017-05-09,29
2017-05-10,30
2017-05-11,30
2017-05-12,24
2017-05-13,22
2017-05-14,28
2017-05-15,24
2017-05-16,19
2017-05-17,16
2017-05-18,21
2017-05-19,11
2017-05-20,14
2017-05-21,13
2017-05-22,6
2017-05-23,5
2017-05-24,1
2017-05-25,3
2017-05-26,3
2017-05-27,5
2017-05-28,2
2017-05-29,3
2017-05-30,2
2017-05-31,4
2017-06-01,7
