contents,date
‘가디언즈 오브 갤럭시 VOL. 2’ 멋과 흥으로 무장한 캐릭터 열전 http://dam25.com/?p=486698 pic.twitter.com/iYQzuX7xLX,2017-04-03
[티몬필름] 가디언즈 오브 갤럭시2 이벤트 http://www.ticketmonster.co.kr/deal/536401218 ,2017-04-03
가디언즈 오브 갤럭시 2에 스파이디 홈커밍 인생 살 맛 나 pic.twitter.com/oBKInOiwQZ,2017-04-03
금년 최대 기대작 #[가디언즈 오브 갤럭시 2]#마블 꼭 보고 싶네요 ~ 1편의 신나고 화려하고 약빤 기억을 다시근 느끼고 싶네요 ~,2017-04-03
그리고 가디언즈 오브 갤럭시 VOL.2가 영등위에서 등급진행중으로 검색이 되고 있습니다...두근두근두근두근 pic.twitter.com/no1CUGDXuj,2017-04-03
"크리스 프랫&제임스 건 감독&에릭남 가디언즈 오브 갤럭시 vol2 v앱 라이브. 4월 11일 오후 4시 5분 예정. 
https://www.facebook.com/marvel.kr/posts/1503397249672622:0 … pic.twitter.com/pDjV0ynXlC",2017-04-04
[가디언즈 오브 갤럭시 VOL.2] '가 오 갤' 어벤져스 합류! 촬영현장 영상 https://youtu.be/4rCz2OV4VKw  @YouTube 님이 공유,2017-04-04
[티몬필름] 가디언즈 오브 갤럭시2 이벤트 http://www.ticketmonster.co.kr/deal/536401218?isHistory=Y …,2017-04-04
가디언즈 오브 갤럭시 VOL.2의 LA프리미어는 4월 19일. 아시아쪽 프리미어 끝나고 바로 이려나.... pic.twitter.com/uQ8slHaCzu,2017-04-04
근데 저도 로건 이후로 영화관에 안갔습니다. ..아마 가디언즈 오브 갤럭시 2 이전엔 안갈 거 같은데..,2017-04-04
가디언즈 오브 갤럭시 vol.2 프로모아트- 가모라 네뷸라 맨티스 pic.twitter.com/oNNy2Clzlv,2017-04-04
가디언즈 오브 더 갤럭시 2,2017-04-04
[티몬필름] 가디언즈 오브 갤럭시2 이벤트 http://www.ticketmonster.co.kr/deal/536401218//17020000/20012280 …,2017-04-04
[티몬필름] 가디언즈 오브 갤럭시2 이벤트 http://www.ticketmonster.co.kr/talk/536401218/17020000/ …,2017-04-04
[티몬필름] 가디언즈 오브 갤럭시2 이벤트 http://www.ticketmonster.co.kr/talk/536401218/17020000/ …,2017-04-04
가디언즈 오브 더 갤럭시 Vol.2 #가오갤 #GOG2 #마블 #marvel https://www.instagram.com/p/BSf_NytFNPl/ ,2017-04-05
