Date,Frequancy
2016-07-26,26
2016-07-27,31
2016-07-28,27
2016-07-29,19
2016-07-30,20
2016-07-31,27
2016-08-01,28
2016-08-02,29
2016-08-03,34
2016-08-04,22
2016-08-05,36
2016-08-06,29
2016-08-07,17
2016-08-08,27
2016-08-09,27
2016-08-10,26
2016-08-11,24
2016-08-12,42
2016-08-13,32
2016-08-14,28
2016-08-15,28
2016-08-16,41
2016-08-17,36
2016-08-18,34
2016-08-19,45
2016-08-20,35
2016-08-21,36
2016-08-22,45
2016-08-23,42
2016-08-24,39
2016-08-25,69
2016-08-26,66
2016-08-27,71
2016-08-28,49
2016-08-29,55
2016-08-30,49
2016-08-31,42
2016-09-01,47
2016-09-02,49
2016-09-03,34
2016-09-04,47
2016-09-05,52
2016-09-06,43
2016-09-07,55
2016-09-08,38
2016-09-09,54
2016-09-10,36
2016-09-11,45
2016-09-12,31
2016-09-13,54
2016-09-14,31
2016-09-15,26
2016-09-16,24
2016-09-17,37
2016-09-18,32
2016-09-19,33
2016-09-20,33
2016-09-21,30
2016-09-22,37
2016-09-23,33
