contents,date
난 그냥.. 고스트버스터즈 세계관 속에 들어가서 살고싶고.. 홀츠먼의 노리개/실험체가 되고싶네요..,2016-07-26
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/Xjy1CkOiXI,2016-07-26
학 고스트버스터즈 넘 기대된다,2016-07-26
고스트버스터즈보고싶닷!,2016-07-26
"[genie][공유]Girls Talk Boys (영화 '고스트 버스터즈' OST)-5 Seconds Of Summer

http://genie.co.kr/O6T7O4 ",2016-07-26
고스트 버스터즈 재미있어 보인다,2016-07-26
얼른 고스트버스터즈를 보고 싶다!!!,2016-07-26
고스트 버스터즈   8월 25일 개봉이내요             ,2016-07-26
고스트버스터즈 ? 저거 개봉언제냐,2016-07-26
고스트 버스터즈.....,2016-07-26
고스트 버스터즈 봐야해,2016-07-26
으아아아아아아 고스트버스터즈 빨리 개봉하란말이야ㅠㅠㅠㅠ,2016-07-26
아ㅏㅏㅏ 고스트버스터즈 빨리보고싶ㅍㅍㅍ다!!!!!!!,2016-07-26
뷁빠도 고스트버스터즈 거를 거면서ㅡㅡ — ㅇㅅ<;; http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO7Q6GDD7PIIRX66FR5RCD43F55J2RWZGZKIFJFM4RJ3KO37QFQOAYUWOPQT3UY7C65IGTZ3JGBAUUIAPR2ICZXQSK7VB2KC6IF7QKUP5UTXTXXJSBY343NHHGMVJSPAYQR66HBWXZUY2PTVL6DKWHX6AUXIDJXGDZXP5VB2JYXAWJQOC=== …,2016-07-26
이건 여전히 몽키 씹을 빨고 니미럴 똥구멍으로 설사를 토하게 만들어요 (AVGN 023 - 고스트버스터즈 완결편),2016-07-26
"""유령이 나타났다"" 폴 페이그 감독 여성 4인조 재탄생 영화 '고스트버스터즈(2016)' http://post.naver.com/viewer/postView.nhn?memberNo=1972495&volumeNo=4720916 …",2016-07-26
동영상을 @YouTube 재생목록 http://youtu.be/qfdAqdbAECQ?a  국내 개봉 확정 고스트 버스터즈 Ghostbusters 예고편에,2016-07-26
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/8Xk4oKQTje,2016-07-26
그래서 고스트 버스터즈 리메이크는 매우매우 기대가 되고..,2016-07-26
고스트버스터즈도 있다구... pic.twitter.com/1YyHlkVlYu,2016-07-26
"고스트버스터즈...꼭 보세요.
예고편부터 기대되구요.꼭 봐야합니다.
그리고 별점도 팍팍주고싶네요.
http://ln.is/www.youtube.com/C14s7 …",2016-07-26
고스트버스터즈 예고편은 일부러 안보고 있고 간간히 해외리뷰 기사 헤드라인만 보고 넘기고 있는데 이러다 극장가서 보기전에 기대감에 부풀어 쥬글듯...,2016-07-26
고스트버스터즈 열번 봐야겠다,2016-07-26
국내 개봉 확정 고스트 버스터즈 Ghostbusters 예고편: http://youtu.be/qfdAqdbAECQ?a  (@YouTube),2016-07-26
고스트버스터즈 두번째 본 감상: 남혐적인 요소를 어디서 찾았는지 모르겠고 그냥 남자 캐릭터가 많이 안나오는게 불만이라면 여태 나온 영화나 드라마 성비 잘 살펴봐주시길,2016-07-26
고스트버스터즈 또보러간다 호호 pic.twitter.com/QSC1PWT2YV,2016-07-26
8월 개봉 영화  <고스트 버스터즈> 메인 예고편 공개 http://blog.naver.com/duddjw1004/220773539515 …,2016-07-27
[고스트버스터즈] 메인 예고편: http://youtu.be/epoAmxULnVM?a  (@YouTube),2016-07-27
고스트버스터즈 보고 옴. 흥행 못 한 거 이해는 되는데 그거랑 별개로 나는 되게 맘에 든다,2016-07-27
8월 25일에 조조아맥으로 고스트버스터즈를 보고 Kㅔ이트를 앓으면서 영곶이라 해석도 안되는 유튜브에 널린 인터뷰 영상들 몰아보고 싶다,2016-07-27
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/gCBs9WLnHy,2016-07-27
침대 위에서 고스트버스터즈 #제목앞에_침대위에서를_붙여보자,2016-07-27
"분노가 필요한 시기임을 인지해야 한다.
2016년 더 나아질 것도 없다 분노하라!!

흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 | 다음 연예 http://v.media.daum.net/v/20160727090104732?f=m …",2016-07-27
여름에 기대했던 영화였던 인디펜던스 데이  부산행 다 만족스러웠기 때문에 고스트 버스터즈도 기대해본다,2016-07-27
고스트버스터즈 동영상 :: 네이버영화 (출처 : 네이버 영화) http://naver.me/F43aEdwb ,2016-07-27
고스트버스터즈 노래 넘 신남,2016-07-27
<고스트버스터즈>의 동경 상영관. 수도 없이 많다. 이게 무슨 일이지. 이와이 슌지의 <립반윙클의 신부>도 이 정도는 아니었다. 동경 상영관 단 두 곳. pic.twitter.com/Ky72d5xcUG,2016-07-27
고스트버스터즈..기대 좀 했는데..아 졸려서 힘들었다...대사 너무 많아....ㅋ,2016-07-27
#고스트버스터즈 고화질 스틸 모음 http://buff.ly/2a6AUto pic.twitter.com/4buHGHRTdG,2016-07-27
"이게 요즘 세상. 

흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 http://ln.is/ize.co.kr/BEuak ",2016-07-27
고스트 버스터즈 개봉빨리했으면 좋겠다 망작이라도 극장가서 볼것이며 평타만 쳐도 두번 볼것이다 ㅜㅜㅜ,2016-07-27
'고스트버스터즈 리부트'가 로튼이나 imdb에서 기대 평점이 낮은 까닭을 알고 보면.. 한숨으로 바다를 메우고도 남겠는 그런 것이다..,2016-07-27
"흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 by 와조

누가 감히 레슬리 존스(@Lesdoggg)에게 분노하지 말라고 할 수 있겠는가?
http://ize.co.kr/articleView.html?no=2016072409467247754 … pic.twitter.com/jdvRuepJI9",2016-07-27
수어사이드 스쿼드도 보구...광고 보니까 고스트 버스터즈도 재밌어보이던뎅 호에에,2016-07-27
어째서 고스트버스터즈 8월 말 개봉이죠,2016-07-27
"영화 '고스트버스터즈' ""누구도 악령을 상대할 수없다? 당신들은 할 수 있을 것 같네요!"" http://post.naver.com/viewer/postView.nhn?memberNo=1972495&volumeNo=4722661 …",2016-07-27
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/svkTv4ehw6,2016-07-27
흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 http://ize.co.kr/articleView.html?no=2016072409467247754 …,2016-07-27
고스트버스터즈 봐야지 ...,2016-07-27
"챙겨볼 8월 개봉영화

마이펫의 이중생활
수어사이드 스쿼드
덕혜옹주
비거 스플래쉬
터널
국가대표2
마이 리틀 자이언트
서울역
고스트 버스터즈
그림자들의 섬
범죄의 여왕
최악의 하루
트루스
히치콕 트뤼포
테일 오브 테일스",2016-07-27
고스트버스터즈 재밋겟다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2016-07-27
"음. 이 영화는 꼭 봐야겠군!
""[고스트버스터즈] 시사회를 앞두고 어떤 디자이너도 드레스를 제공하지 않아 SNS로 해결책을 찾아야 했던"" 흑인 여성 레슬리 존스. #LeslieJones #nevergiveup pic.twitter.com/YDCU2xtNrM",2016-07-27
고스트버스터즈 보고싶다,2016-07-27
고스트버스터즈 주인공 여자로 바뀐거 하나 가지고 지랄하는 빡대가리들은 정말 한숨만 나오구요.. 보통 로튼같은걸로 미리 가늠하고 영화관 가는데 이건 도저히 대중이 안 돼서 개봉하면 직접 가서 보고 재미없으면 까고 재미있으면 빨아줄것.,2016-07-27
[맥스무비] 영화정보 - 고스트버스터즈 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000095764 …,2016-07-27
고스트 버스터즈의 탄생,2016-07-27
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/uK5ksOFsVD,2016-07-27
"올 여름  유령 잡는 언니쓰가 온다!

빵빵터지는 썸머코미디
<고스트버스터즈> 메인 예고편 공개!

#걸크러쉬_4인방 #섹시미발산_햄식이
#고스트버스터즈 #8월25일_대개봉 http://fb.me/1f4z0crZC ",2016-07-28
"고스트버스터즈 신작에도 아주 귀여운 수준으로 중국관객 서비스샷들이 있었는데  헐리웃 체크리스트에 '중국을 위한 요소가 무엇인가?"" 가 있을 듯.",2016-07-28
"남친도 병원에서 영화 티켓을 선물로 많이 받아서 우리 둘다 티켓이 넘쳐나서 오늘은 꼭 같이 영화를 한편 보러가기로 함. 근데 뭘 볼지는 미정

1. 고스트버스터즈<는 애틀랜타 페미니즘 클럽 친구들과 보기로해서 안됨
2. 스타트랙<은 2편을 안봐서 안됨",2016-07-28
8월 네째 주 개봉작들 중에서는 라이트 아웃  플로렌스  최악의 하루  트루스  그림자들의 섬  고스트 버스터즈  범죄의 여왕에 관심이 갑니다. 꼭 보겠다는 작품은 없습니다. 배급 상황에 따라 한두편 정도 볼 것 같기는 합니다만.,2016-07-28
이번 고스트버스터즈는 어떤 모습일지 기대된다 ^^ pic.twitter.com/gfYMUNE5nt,2016-07-28
다가오는 것들  고스트버스터즈3를 보려면 담달까지 살아있어야 함,2016-07-28
내 동료들 되게 문명인들이라서 너모 좋다 지금 동료는 베릭 솔라스 카산드라뿐인데 먼가 유령퇴치하는것도 그렇고 고스트버스터즈 같은 느낌인것 ㅋㅋㅋㅋㅋㅋㅋ,2016-07-28
흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 http://ize.co.kr/articleView.html?no=2016072409467247754 …,2016-07-28
아뇨  이 청소기는 유령 잡는데 쓸 건데요 (AVGN 021 - 고스트버스터즈),2016-07-28
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/tD4K3yWoET,2016-07-28
고스트버스터즈(Ghostbusters) 메인 예고편 최초 공개 http://iee.kr/2016/07/28/%ea%b3%a0%ec%8a%a4%ed%8a%b8%eb%b2%84%ec%8a%a4%ed%84%b0%ec%a6%88ghostbusters-%eb%a9%94%ec%9d%b8-%ec%98%88%ea%b3%a0%ed%8e%b8-%ec%b5%9c%ec%b4%88-%ea%b3%b5%ea%b0%9c/ …pic.twitter.com/719hRjTebM,2016-07-28
유령잡는 언니쓰가 온다! #고스트버스터즈 #예고편 #폴페이그 #멜리사맥카시 #개봉 #2016년8월25일 http://yeahgo.kr pic.twitter.com/OItmg0URP9,2016-07-28
맞다 고스트버스터즈 보고와서 맛난 거 먹고 옴. 보정 그런 거 읎따 pic.twitter.com/7GPpWLfw4A,2016-07-28
<고스트 버스터즈> 이번엔 여성판 멤버들로! 2016년판 리부트. (출처 : ★ 무비 J.. | http://kaminari2002.blog.me/220772569654  블로그) http://naver.me/xBqyUosg ,2016-07-28
기분 좋게 고스트버스터즈 보고왔더니 휴.. 아무튼 여전히 홀츠먼은 사랑이군요,2016-07-28
오빠 평소에도 근육 이정도 되는데  고스트버스터즈에서는 일부러 근육을 살짝 지운걸까? pic.twitter.com/B31NI1Mj3w,2016-07-28
"흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 http://ize.co.kr/articleView.html?no=2016072409467247754&type=& …   좋은 기사다 ""그러니 누가 감히 레슬리 존스에게 분노하지 말라고 할 수 있겠는가?"" <여자한테 입다물라고 그만 말해라진짜",2016-07-28
[공유]  8월 개봉 영화 <고스트버스터즈> 메인 예고편  (출처 : 오케이사운.. | http://blog.naver.com/topsolution21/220773567486 … 블로그) http://naver.me/5584TnjF ,2016-07-28
파고 시즌 2 곱씹을수록 엿같은 대본이다. 특히 '여성주의에 태클 거는' 태도가 굉장히 짜증나는데  고스트 버스터즈 리메이크를 수호하는 게 현실의 사람을 구하는 것보다 중요하다고 말하는 이들에게나 먹힐 비판이거든. 근데 그런 인간 인터넷에나 있잖아.,2016-07-28
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/uKDG9mQgHP,2016-07-28
고스트버스터즈 진짜 트레일러로만으로도 넘나 기대되는것... 특히 저 맨 오른쪽 언니가 진짜 하트격침인데 원래 난 주인공들 난관에 닥치면 비켜 언니가 해결해줄게 하고 나오는 그런 캐릭터들을 좋아함 그래서 트레일러에서 나만큼 이 도시 지리를 잘 아는 사람,2016-07-28
흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 http://ize.co.kr/articleView.html?no=2016072409467247754 …,2016-07-28
감사해요! 이제 씩씩하게 잘 걸어서 고스트버스터즈 보러 갈 수 있어요! >ㅂ< pic.twitter.com/mytksyXYIR,2016-07-28
"요즘 그나마 흥미를 느끼는 것 : 팔머스톤의 넘버텐 진입  웹툰 몇 개(우바우  어쿠스틱  가우스)  영화 몇 개(부산행  도리  고스트버스터즈...)

일에는 관심없다. 넷플릭스도 루폴 새시즌 정도 아니면...",2016-07-28
고스트버스터즈 이제 겨우 3차 찍었다고..? 그럴리가.. 12차 찍은 기분인데요.. 근데 계속 더 보고싶구요ㅠㅠㅠㅠ????,2016-07-28
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/16hHetNsRB,2016-07-28
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/kCWqHNvqx5,2016-07-28
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/VekaxhJXIe,2016-07-29
"1984년 고스트버스터즈는 뉴욕에서 고스트를 때려잡고  한편 한국에서는... 
https://youtu.be/Fe93CLbHjxQ ",2016-07-29
고스트 버스터즈나 수이사이드 스콰드 어떨까요!!?,2016-07-29
고스트 버스터즈 트레일러 보는 미녕 귀여웠다...,2016-07-29
그래서 요번 고지라가 재밌다는 거야 재미없다는 거야. 이번 <고스트버스터즈>와 함께 전문가 리뷰를 읽어도 판단이 안 서는 영화들이로구만.,2016-07-29
"2016년 아직도 존재하는 차별  여자라고 흑인이라고  그 일상적인 차별. 그 차별에 분노하지 않을 더 이상의 이유가 있나?

흑인 여배우가 [고스트버스터즈]에 출연한 뒤 생긴 일 | 다음 연예 http://v.media.daum.net/v/20160727090104732?f=m …",2016-07-29
8월에 수어사이드스쿼드 마이팻이중생활 고스트버스터즈 오 기대기대,2016-07-29
"8/3 마이펫의 이중생활/덕혜옹주/수어사이드 스쿼드(IMAX 3D)
8/10 터널/마이 리틀 자이언트
8/18 서울역/스타트렉 비욘드(IMAX 3D)
8/24 라이트 아웃/플로렌스/고스트 버스터즈/트루스
미정:테일 오브 테일즈",2016-07-29
그러니 이 도시는 유령이 아니라 음주운전 때문에 위험한 겁니다. (AVGN 021 - 고스트버스터즈),2016-07-29
"오늘 고스트버스터즈(2016)를 다시 보면서 알아차린 페미니즘적 요소들.
1.로완이 ""니들은 차별과 경멸을 당해보지 않았으니 날 이해못해!! 뻬에에엑!!"" 했을때 아비가 아냐 우리도 이해해 라고 대답했던게 그녀들이 유령을 쫒는걸 비웃음 당하고 너드라고",2016-07-29
"미국을 대표하는 상징물 중 하나가 닌텐도 조종기로 조종당하다니...

닌텐도가 세계를 지배하는군요 씨발...
(AVGN 023 - 고스트버스터즈 완결편)",2016-07-29
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/JJErPMguf5,2016-07-29
고스트 버스터즈 다 봤다 휴 이거 거슬리는 부분 많지만 리부트는 안 그러겠지요 신난다 후유고나콜~ 고스트버스터즈!,2016-07-29
"8월.
수어사이드 스쿼드
비거 스플래쉬
덕혜옹주
마이 리틀 자이언트
크리피
스타트렉: 비욘드
라이트아웃
그림자들의 섬
고스트 버스터즈
최악의 하루",2016-07-29
이영화는 그런게 하나도 없다. 정말 고스트버스터즈들이 자신들의 외모에 대한 이야기를 하는 장면이 하나도 없음. 심지어 다른 영화에서는 늘 '뚱뚱한 여자' 역으로 나오는 멜리사멕카시의 캐릭터도 그런 언급이 한번도 없다. 당연하다.,2016-07-29
"세계를 멸망시키겠다고 지랄방정을 하고있었던 것. 너무나 한남충스럽다..ㅋ...
2. 까메오로 등장한 본편 고스트버스터즈 맴버들이 모두 택시운전사  장의사  혹은 유령을 믿지도 않는 멍청한 심령학박사로 출연했던것에 비해 전편에서는",2016-07-29
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/ER8h2ZDJ28,2016-07-29
<무비프리 이벤트> 고스트버스터즈  Ghostbusters 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/l0PZ9P5dij,2016-07-29
