Date,Frequancy
2016-12-19,33
2016-12-20,36
2016-12-21,32
2016-12-22,27
2016-12-23,35
2016-12-24,37
2016-12-25,35
2016-12-26,37
2016-12-27,37
2016-12-28,34
2016-12-29,36
2016-12-30,36
2016-12-31,36
2017-01-01,37
2017-01-02,41
2017-01-03,37
2017-01-04,40
2017-01-05,39
2017-01-06,43
2017-01-07,36
2017-01-08,38
2017-01-09,41
2017-01-10,53
2017-01-11,48
2017-01-12,53
2017-01-13,40
2017-01-14,46
2017-01-15,51
2017-01-16,52
2017-01-17,43
2017-01-18,67
2017-01-19,44
2017-01-20,79
2017-01-21,47
2017-01-22,53
2017-01-23,38
2017-01-24,42
2017-01-25,40
2017-01-26,41
2017-01-27,44
2017-01-28,44
2017-01-29,38
2017-01-30,73
2017-01-31,76
2017-02-01,58
2017-02-02,64
2017-02-03,39
2017-02-04,58
2017-02-05,38
2017-02-06,55
2017-02-07,36
2017-02-08,44
2017-02-09,39
2017-02-10,46
2017-02-11,35
2017-02-12,39
2017-02-13,46
2017-02-14,39
2017-02-15,37
2017-02-16,53
