Date,Frequancy
2015-12-15,5
2015-12-16,2
2015-12-17,3
2015-12-18,2
2015-12-19,0
2015-12-20,1
2015-12-21,6
2015-12-22,18
2015-12-23,19
2015-12-24,13
2015-12-25,4
2015-12-26,13
2015-12-27,5
2015-12-28,5
2015-12-29,12
2015-12-30,6
2015-12-31,14
2016-01-01,8
2016-01-02,13
2016-01-03,13
2016-01-04,5
2016-01-05,17
2016-01-06,13
2016-01-07,14
2016-01-08,11
2016-01-09,12
2016-01-10,5
2016-01-11,11
2016-01-12,8
2016-01-13,20
2016-01-14,35
2016-01-15,26
2016-01-16,24
2016-01-17,26
2016-01-18,28
2016-01-19,9
2016-01-20,16
2016-01-21,11
2016-01-22,5
2016-01-23,12
2016-01-24,15
2016-01-25,10
2016-01-26,11
2016-01-27,7
2016-01-28,3
2016-01-29,7
2016-01-30,5
2016-01-31,3
2016-02-01,3
2016-02-02,3
2016-02-03,1
2016-02-04,0
2016-02-05,2
2016-02-06,2
2016-02-07,0
2016-02-08,0
2016-02-09,1
2016-02-10,2
2016-02-11,2
2016-02-12,5
