contents,date
"[구스범스] ★★★★☆ 9 http://me2.do/x6OhodKW  몬스터가 몽땅 출몰하는 아이들 무섭다고하는데..ㅎㅎ
꿈에 나타나면 어쩌나 걱정 을하는..
중간중간 웃기기도하고 볼만했다능요",2015-12-15
[파티크루 딥코인]  딥코인의 멤버  구스범스의 작업실에서 그들과 두 번째 만남! 그들이 말하는 진짜 ‘딥코인다움’에 대한 이야기!  The ICONtv DEEP WIDE 딥코인 편에서 확인해보세요! http://youtu.be/1A221PLCEqs ,2015-12-15
혹시 잠시 후 8시에 <구스범스> 서울극장 시사회 보실 분 계신가요? 1인2매입니다 :) pic.twitter.com/2U4QTVsg0d,2015-12-15
"혹시 오늘 시사회 가실분 있으신가요? http://itcm.co.kr/593644  곰TV에서 구스범스 영화시사회 당첨이 되었는데

가족약속을 2주전부터 조율해서 잡은거라 미룰수가 없네...",2015-12-15
공포의 매운맛과 웃음의 단맛이 비교적 잘 비벼진 구스범스 http://photohistory.tistory.com/16014 ,2015-12-15
"영화 구스범스 

이게 뭐야... 지루해 
판타지에 환장해서 엄청 기다렸는데 
앞에 한 시간  잠들 뻔. 
남주는 드럽게 말 안듣고 지 맘대로 하더이다 
아마 혼자 정의의 사도 라고 착각했겠지 
수트 친구는 사실 40대 중반의 배우로 알고 있다",2015-12-16
[구스범스 호러 특급 1]-좀비 핼러윈 파티  정말 매력적인 공포물 http://bit.ly/1Nw1U1A  #yesblog,2015-12-16
<구스범스> 어른들과 아이들이 함께 공감할 수 있는 재미난 판타지 어드벤쳐 무비!!! 시사회 관람 후기... http://blog.naver.com/insu1229/220571563998 …,2015-12-17
'구스범스'라길래 뭔가 했넼ㅋㅋㅋㅋㅋㅋㅋ 이건 책이 원작인 것 같은데 책도 구스범스로 되어있음 pic.twitter.com/6Ib0jSBUPm,2015-12-17
구스범스 시사회 당첨됬닼ㅋㅋㅋㄱㅋㅋㄷㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ옝!!!,2015-12-17
유명 책 시리즈가 원작!  #구스범스 후기. 영화는 오리지널 스토리로! (출처 : ★ 무비 J.. | 네이버 블로그) http://me2.do/55VZ4nH6 ,2015-12-18
[POOM] 전세계가 열광하는 판타지 어드벤처 ‘구스범스’ 시사회에 초대합니다! http://m.poom.co.kr/main/mobile/event/20155rdCultureTour.asp …,2015-12-18
#구스범스 시사회 보러옴!,2015-12-20
[알라딘]구스범스 호러특급 3 - 크리스마스의 유령 http://ln.is/www.aladin.co.kr/sho/kmqJd …,2015-12-21
<무비프리 시사회 이벤트> 구스범스  오싹 유쾌! 방학맞이 1318 취향저격 시사회 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/t4Sdkuloat,2015-12-21
구스범스 솔직히 좀 실망했어요...: 구스범스 감독 롭 레터맨 출연 잭 블랙  딜런 미네트  오데야 러쉬 제작 2015   103분 평점 가족과 함께 구스범스 보러갔는데 가족 모두 반응이 cool~... http://tinyurl.com/oka5llw ,2015-12-21
아니 구스범스가 영화개봉하잖아? 공포 단편 시리즈인데 어느 내용을 시나리오로 한건데?,2015-12-21
[구스범스] 오싹 깜놀 예고편: http://youtu.be/FB3ySKx9RUU?a  (@YouTube),2015-12-21
[구스범스] 오싹 짜릿 추격 영상: http://youtu.be/cPTC3UCeBic?a  (@YouTube),2015-12-21
"겨울방학 추천 영화 ""구스범스"" 시사회로 보고 왔다능요! http://blog.naver.com/tksghtja09/220576218852 …",2015-12-22
구스범스 http://dalae78.blog.me/220576176183 ,2015-12-22
"아니 어제 세란이랑 시사회 다녀왔당
은근 재밌어!!
 구스범스 깜짝 깜짝 놀라면서 봤다:)
#구스범스#대한극장#시사회 pic.twitter.com/njep6ExHIC",2015-12-22
<무비프리 시사회 이벤트> 구스범스  오싹 유쾌! 방학맞이 1318 취향저격 시사회 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/tsgkS4EN7d,2015-12-22
<고릴라박스> 구스범스 무비 스토리북  http://blog.naver.com/rktn96/220575475692 …,2015-12-22
[해피컬처이벤트] 구스범스 https://youtu.be/g8NUMu3ppEE  @YouTube 님이 공유,2015-12-22
