Date,Frequency
2016-05-30,5
2016-05-31,9
2016-06-01,16
2016-06-02,22
2016-06-03,15
2016-06-04,3
2016-06-05,5
2016-06-06,2
2016-06-07,10
2016-06-08,9
2016-06-09,20
2016-06-10,20
2016-06-11,16
2016-06-12,11
2016-06-13,35
2016-06-14,32
2016-06-15,20
2016-06-16,21
2016-06-17,18
2016-06-18,20
2016-06-19,26
2016-06-20,17
2016-06-21,17
2016-06-22,35
2016-06-23,13
2016-06-24,28
2016-06-25,9
2016-06-26,12
2016-06-27,35
2016-06-28,20
2016-06-29,20
2016-06-30,20
2016-07-01,20
2016-07-02,40
2016-07-03,20
2016-07-04,20
2016-07-05,36
2016-07-06,20
2016-07-07,20
2016-07-08,20
2016-07-09,20
2016-07-10,33
2016-07-11,20
2016-07-12,32
2016-07-13,21
2016-07-14,20
2016-07-15,33
2016-07-16,20
2016-07-17,40
2016-07-18,20
2016-07-19,21
2016-07-20,16
2016-07-21,23
2016-07-22,36
2016-07-23,20
2016-07-24,20
2016-07-25,27
2016-07-26,20
2016-07-27,18
2016-07-28,16
