contents,date
나만 굿바이싱글이 입에 안붙나,2016-05-30
미친 굿바이 싱글 뭔내용인가 봤더니 마동석이 혜수언니 스타일리스트래 스타일리스트 마요미 보고싶다 싀바 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2016-05-30
충무로 대표 여배우들  신작서 '파격 변신' (김민희(Kim Min-Hee)  김혜수  손예진  영화 '아가씨'(The Handmaiden)  '굿바이 싱글'  '비밀은 없다') http://youtu.be/lbOjOSFq-o4 ,2016-05-30
[진행중] [무대인사 시사 초대이벤트]영화 <굿바이싱글>(6월 2일 (목) 20시 메가박스 코엑스)초대해요~ (출처 : 컬처 블룸(Culture Bloom) | 네이버 카페) http://me2.do/5zAnwdZE  와우! 이거 짱 기대작~ㅋㅋ,2016-05-30
아가씨 보고나면 사냥도 봐야하고 굿바이싱글도 봐야하고 나중에 해빙 개봉하면 봐야하고 소중한 여인인가 이거 가제라던데 암튼 이것도 봐야하고 걍 극장에서 살면 안되나 볼 게 많은데 ㅇㅅaㅇ,2016-05-30
<굿바이 싱글> 30초 예고편 (출처 : 네이버 영화 | 네이버 TV캐스트) http://me2.do/F1JoRQIP ,2016-05-31
코메디영화 굿바이 싱글 김혜수의 폭탄선언? : http://mediup.co.kr/m/content/board_detail.html?id=free&no=122083 …,2016-05-31
Showbiz Korea _ Goodbye Single(굿바이 싱글) _ Interview http://dlvr.it/LRsbM5 ,2016-05-31
BSTODAY 모바일 사이트  '김혜수가 사고쳤다?'…영화 '굿바이 싱글' 1차 예고편 화제 http://m.bstoday.busan.com/news/articleView.html?idxno=71282 …,2016-05-31
[메디뉴스] 코메디영화 '굿바이 싱글'  김혜수의 폭탄선언?: [뉴스인] 김영일 기자 = 대한민국 대표 독거스타의 임신 스캔들을 ... http://bit.ly/1Z9kEe0  #병원취업http://medi-talk.co.kr ,2016-05-31
‘굿바이 싱글’ 예고편 공개… “우주대스타 같은 소리하고 자빠졌네” http://okdok.kr/archives/4 ,2016-05-31
인기 톱스타의 임신 스캔들을 소재로 한 김혜수-마동석 주연의 코미디 영화 굿바이 싱글 (Familyhood  2016) 30초 예고편 (30s Trailer) https://youtu.be/sCXHmy6FJs8 ,2016-05-31
내일 몹시 한가하여 굿바이 싱글을 보고 싶은 분을 찾습니다 월드타워... 최초 시사회... 혜수 언님 무대인사...... 그런데 전 도착하면 여섯 시 좀 넘으므로 조금 일찍 도착해서 앞자리 받아주실 분... 없으면... (울컥....,2016-05-31
"ㅠㅠㅠㅠㅠㅠㅠㅠ 사냥 빕시 굿바이싱글 빕시가 남아있습니다ㅠㅠ 우리ㅠㅠ 그때 같은공간에 있자구요ㅠㅠ
이러는데 막 뎨훈 안오기 없어여ㅠㅠㅠ",2016-05-31
굿바이 싱글 잼난다아~~ pic.twitter.com/0SXZekbLXn,2016-06-01
