Date,Frequancy
2017-01-16,59
2017-01-17,38
2017-01-18,70
2017-01-19,63
2017-01-20,60
2017-01-21,39
2017-01-22,55
2017-01-23,52
2017-01-24,36
2017-01-25,40
2017-01-26,63
2017-01-27,59
2017-01-28,35
2017-01-29,36
2017-01-30,35
2017-01-31,34
2017-02-01,51
2017-02-02,62
2017-02-03,62
2017-02-04,41
2017-02-05,56
2017-02-06,41
2017-02-07,37
2017-02-08,61
2017-02-09,51
2017-02-10,47
2017-02-11,43
2017-02-12,34
2017-02-13,40
2017-02-14,38
2017-02-15,61
2017-02-16,56
2017-02-17,38
2017-02-18,34
2017-02-19,58
2017-02-20,38
2017-02-21,54
2017-02-22,37
2017-02-23,31
2017-02-24,54
2017-02-25,36
2017-02-26,37
2017-02-27,57
2017-02-28,55
2017-03-01,44
2017-03-02,46
2017-03-03,46
2017-03-04,41
2017-03-05,43
2017-03-06,52
2017-03-07,40
2017-03-08,38
2017-03-09,39
2017-03-10,38
2017-03-11,50
2017-03-12,35
2017-03-13,40
2017-03-14,31
2017-03-15,40
2017-03-16,43
