contents,date
[당첨자 발표] 영화 <그래  가족> 예매권 이벤트 http://fb.me/7AgjpT6l5 ,2017-01-16
"＇그래가족＇ 범죄·액션·느와르 찍은 정만식  이번엔 철부지다 http://v.media.daum.net/v/20170116182648615 …

도창학의 새 영화입니다.",2017-01-16
헐 그래가족 버스 봤다,2017-01-16
‘그래  가족’ 정만식  철부지 장남 성호 역 완벽 변신..허당매력 예고 ‘눈길’  / 브레이크뉴스  http://www.breaknews.com/486113 ,2017-01-16
무슨 가족이 그래? 형의 가족이지. 나랑 승호  엄마,2017-01-16
아 팬싸 날짜 오ㅑ그래..왜 나 가족여행 갈때 해....아 시발 지쨔 나한테 왜그래...,2017-01-16
그래. 물고기도 가족 만들어주자.,2017-01-16
그래. 네 가족이라고 여겨줄...게.,2017-01-16
[신세계몰] [0116~22] 그래 가족 영화예매권 이벤트 http://ssg.li/9ddhg ,2017-01-16
또하나의 가족? 그래 너. 어른들 중에서 남 무시하는거 그게 또하나의 병신가족이지,2017-01-16
친구라! 그래 ! 가족은 당연히 좋지만 친구도 좋지!,2017-01-16
그 기쁨을 함께 나눌 가족이 있잖아 무슨 가족이 그래?,2017-01-16
함? 동생의 정체성은 우리 가족의 구성원 중 예비 기둥이지만(그래시밤바 이것도 매우 마음에 안 든다) 내 정체성은 예비 어떤 남자의 아내임? 심지어 난 이성애자도 아니란 말이야 ㅋㅋㅋㅋㅋㅋ,2017-01-16
"여튼 402가 우주명작으로 느껴지긴 한다. 나름 허드슨부인도 잘 썼고 분위기도 잘 몰고 갔고 최순실스러운 오마주도 있고 기타등등 이것저것.
그래  캐붕이라든가 추리물이라든가 그것 빼고 가족드라마로는 괜찮지. 그래. (하아)",2017-01-16
가해자가 무슨무슨 짓하면 댓글에 니 가족한테나 그래라라던지 니 딸한테나 하라는 댓글 꼭 있는데 가해자가 씹쌔끼지 가족이 뭔 죄임;,2017-01-16
그래 말포이 가족 슬퍼했...겠지...? 사실 다 밝혀져쓸때 어떤 반응이었을지가 궁금하지만,2017-01-16
"가끔가다 내동생 하이톤 엄마목소리랑 똑닮아서 당황한다..ㅠ 그래 넌 틀림없는 우리집가족이다..
(문제는 동생이 남동ㅅ..)",2017-01-16
...... 그래.... 나는 셜존을 얻었... 아니... 그래... 셜존은 결혼했다는 걸 얻었.... 이미 가족이라는 걸 얻어....엉ㅅ..ㅠㅠㅠ,2017-01-16
아빠! 나 우주에 왔어요! [저음의 '스페이스' 목 소리] 아들아  자랑스럽다. [보통 목소리] 아빠 도 우주에 있어요? [저음의 '스페이스' 목소리] 그래. 이제 우리는 다시 한 가족이다.,2017-01-16
아미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비스트 가족앞에서 마법사 인거 안밝힐려고 니가 고대마법사냐! 하니까 그래요 내가 소문의 마법소녀 비스트♡ 이럼ㅁㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비스트 개그캐냐곸ㅋㅋㅋㅋㅋㅋㅋ,2017-01-16
＇그래가족＇ 범죄·액션·느와르 찍은 정만식  이번엔 철부지다 http://v.media.daum.net/v/20170116182648615 …,2017-01-16
그래 저거야 사회악 최종보스로 다 그려놓고는 딸 바이올린 연주회 듣는 화목한 홈즈 가족 뭐냐고ㅗㅗㅗㅗㅗ,2017-01-16
불야성 끝나고 그래가족 무인도 다돌고나면 뭐하지?,2017-01-16
[정만식] 오늘 깜짝 공개된 정만식 배우의 #그래 가족 스틸컷 확인해보셨나요? 사진으로만 봐도 느껴지는 #허당 가득한 그의 모습으로 인해 영화에 대한 기대감은 급상승 중!!… https://www.instagram.com/p/BPUcHhGgLAH/ ,2017-01-16
아니 뭐야  여태 잠도 안자고 이 아침까지 날 기다렸어? 차암~ 다정하기도 하셔라. 그래  그래. 이런게 바로 가족의 사랑이지. 하하하...,2017-01-16
아아  그래. 내가 죽인 천사들 중에 네 놈의 가족이 있는것인가?,2017-01-16
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  내가 진짜 태형이가 수상소감 마이크만 잡으면 나 터져 ㅋㅋㅋㅋㅋㅋㅋ 가족여러분ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래 뭐 틀린말은 아니긴… https://www.instagram.com/p/BPT7M_cAAjI/ ,2017-01-16
"그래..
아육대에 가서 제일 이득은
애들이 나눠주는 도시락..이 아니라
가까이서 친숙하게 함께하는
가족같은 분위기
숙식 제공
월 텅장 보장
음?",2017-01-16
마이크로프트가 짱이다 너 다 해드세요 하 나 이런 미친 하 근데 셜록 가족 총 대환장쇼다 진심 하.....ㅋㅋㅋㅋㅋㅋㅋ웃음나옴 그래요 뭔가 진짜 거대한 리셋의 느낌이다,2017-01-16
50-3. 당시 엄마차는 이미 4~5년은 탄 구형 아반떼였는데 그걸 가지고 130인가 140을 작정하고 밟아봤다면서 되게 후련한 표정으로 말했다.. 그래요 엄마가 후련해졌다고 하니 좋은 일이죠.. 비록 그때 그 차에서 온가족이 다 자고 있었다 해도..,2017-01-16
아빠! 나 우주에 왔어요! [저음의 '스페이스' 목소리] 아들아  자랑스럽다. [보통 목소리] 아빠도 우주에 있어요? [저음의 '스페이스' 목소리] 그래. 이제 우리는 다시 한 가족이다.,2017-01-16
"에덴: 바닷물은 왜 짠 걸까?
마르: 오늘 모두 아침에 생선 드셨죠?
에덴: 응. 맛있었지.
마르: 그 물고기 가족들의 눈물 때문에 그래요.
에덴: …….(핏기 싹 가심",2017-01-16
ㅋㅋㅋㅋㅋㅋㅋㅋ웅..그래야하겟지 ..음..집은 비지않지만 가족들이 나 코스하는걸알기에 뭐라고안할듯..,2017-01-16
나츠 말(석기시대)로 미뤄봤을 때 루시를 해피 보살폈 듯 대하겠단 뜻 같은데 내용 보면 그건 그냥 무리고 또 곤봉님이 노하셔서 진짜 가족이나 될 것 같고 그래<<<,2017-01-16
그런가.. 으 문제는 몇 년 동안 가족 사이에서도 이 성격 때문에 매번 불화가 터지고   다른 데서도 종종 그래갖고 좀 가라앉힐 필요도 있지 않나 싶기도 해요 약이 답인가..,2017-01-16
"얘들아~ 오늘 유성우 떨어진다더라?

그래? 성우야  니 가족들 방문온다는데?

(....ㅆㅂ",2017-01-16
그래  이 뻔뻔한 이중인격 허세 종자야. 우린 참으로 행복한 대 가족이지. (산타나  넌 빠져) 똥물에 튀어 죽을 위선자 같으니  블레인 질투하는 꼴 얼척이 없다니까? 그 환상적인 아카펠라 주둥이를 벌릴 때 마다 워블러로 쫓아내지 못 해 안달이잖아.,2017-01-16
안그래도 요즘처럼 흉흉한 세상에  나라고 마법부에서 일하면서 안전할 거라는 보장이 있겠어? 이 곳에서 내가 확실하게 믿을 수 있는 사람은 너밖에 없다. 그래서  나는  최악의 경우가 발생했을 때에 네게 나의 가족들을 부탁하고 싶다.,2017-01-16
어째서? 그.. 너에게도 가족이란게 있다며. 그 사람이 기억하면 안된다고 그래?,2017-01-16
6시 20분 그래도 아직 이 세상에는  그런 시시한 사리니 명분이니 따위 아랑곳하지 않고  그저 핀치에 몰린 소중한 가족을 구하기 위해 자신의 모든 것을 내걸 수 있는- 그래  세계에서 제일의 언니이자 여동생님께서 멀쩡히 살아 계시다는 사실을 말이다,2017-01-16
변명 잘 들었어. 그러니까 나로 해. 남자라 안된다는 이유 빼면 내가 어디가 나쁘다고 그래? 자상하지  상냥하지  세심하지. 누구보다 너를 잘 안다고 생각해. 어쩌면 가족보다도. 그런데도 내 어디가 안 된다는 거야? …그러니까 남자인 이유 빼고.,2017-01-16
그래놓고 나보고 이제와서 후회하면 뭐 하냐 그러고... 시발 어쩌라는 것? 이런 식으로 얘기하니까 속으로 진짜 내가 괜히 가족들 위해 뭘 참아야 할 필요가 없구나 싶었는데... 그 생각도 애써 누르려고 애씀... 썅,2017-01-16
어지간해선 버릴 일 없으니까  걱정 말지 그래? 이미 당신은  가족이지. 참 질긴 인연이네  어렸을 때 부터. (픽 웃으며 어깨를 으쓱인다. 새삼 과거의 일이 떠오르고  표정이 살짝 굳었다 이내 미소를 짓는다.),2017-01-16
"엄마가 오빠랑 나한테 하던 말씀
집안일은 돕는게아니라 같이하는거라고
엄마가 힘들어서 돕는게아닌 가족이니까 하는거라고
근데 아빠는 항상 시켰었지
그래놓고 뭐? 엄마랑 우리랑 너무 가까워서 낄틈이없다고???",2017-01-16
(이 사람도 그래. 나와 가족의 가치관이 또 달라. 그럴 수도 있지. 고개를 끄덕인다.) ...그럼 거기서 걔는 어디로 갔는데 여기서 왜 걔를 찾아요?,2017-01-16
가족들을 별로 좋아하지 않는 편? 확실히 그러면 혼자가 나아. 그래  빨리 어른이 되어야겠네?,2017-01-16
"...돌아가면 좋겠군
아직 나도 손길이 많이 가는 가족이 있으니까
...너도 나도 돌아가면 좋겠군 그래",2017-01-16
"안그래도 내일모레 이사인데 BL만화책만 한 100권있어서 이거..박스에 따로 싸매야하나 하다가... 가족들도 다아는데.. 하루보고 안볼 이사짐사람들..배쨰 이러면서 박스포장안했는데..
존나 저런제목이면..박스포장해야될거같다고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",2017-01-16
