Date,Frequancy
2016-03-14,1
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,2
2016-03-22,0
2016-03-23,1
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,1
2016-03-29,1
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,1
2016-04-05,1
2016-04-06,1
2016-04-07,1
2016-04-08,0
2016-04-09,0
2016-04-10,1
2016-04-11,0
2016-04-12,1
2016-04-13,0
2016-04-14,2
2016-04-15,1
2016-04-16,0
2016-04-17,1
2016-04-18,2
2016-04-19,0
2016-04-20,0
2016-04-21,2
2016-04-22,3
2016-04-23,0
2016-04-24,0
2016-04-25,1
2016-04-26,0
2016-04-27,0
2016-04-28,1
2016-04-29,0
2016-04-30,1
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,1
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
