contents,date
지난 주말 일본에서 개봉한 <극장판 울트라맨 X: 왔다! 우리들의 울트라맨>이 흥행 순위 10위로 데뷔. 스크린 수는 50개. http://www.kogyotsushin.com/archives/topics/t8/201603/14194711.php …,2016-03-14
[맥스무비] 영화정보 - 극장판 울트라맨 우주 몬스터 대결전 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000093636 …,2016-03-21
"여러분  울트라맨 코스모스 2004년 극장판은 보고 트윗 합니까? 
심판과 은혜라는 주제를 아주 진지하게 잘 다뤘어요!",2016-03-21
"「ウルトラ銀河伝説 The Movie」韓国語版番宣。
「俺はゼロ！ウルトラマンゼロ！セブンの息子だ！」がそのまんまだわ。

[극장판 예고] 울트라맨 우주몬스터 예고편 を YouTube で見る https://youtu.be/VdIqztpDyPY ",2016-03-23
울트라맨 엑스 극장판과 가면라이더 극장판 포스터입니다. 작년 이 맘때 일본극장 오면 한국영화가 한편 정도는 있었는데 올해는 한편도 없는듯 합니다. 오히려 우리나라가 일본 애니나 영화를 더 많이 트는듯 합니다. pic.twitter.com/MuHZSLhls1,2016-03-28
[맥스무비] 영화정보 - 극장판 울트라맨 우주 몬스터 대결전 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000093636 …,2016-03-29
@B_11e @TheDelta_egg 시부렁 이번 극장판 울트라맨 비성우 더빙인가봐...,2016-04-04
극장판 <울트라맨 우주 몬스터 대결전> 캐릭터 카드 3종 http://buff.ly/1UEYRvX  pic.twitter.com/7zjVktfy51,2016-04-05
 극장판 울트라맨 우주 몬스터 대결전 http://blog.naver.com/jade104/220675889314 …,2016-04-06
머지 울트라맨 극장판 재밋어보이는....,2016-04-07
울트라맨극장판 상영어디서하나보는데 으음   망햇다 왜케안떠,2016-04-10
아모야 울트라맨극장판 고담시분명어제도잇엇는데 오늘보니까 없어졋어 ㅋㅋㅋㅌㅋ아오,2016-04-12
[울트라맨 극장판 우주몬스터 대결전] 울트라맨 제로 극장판이 어제 개봉을 했습니다. http://blog.naver.com/artgihun/220683258621 …,2016-04-14
"여러분  울트라맨 코스모스 2004년 극장판은 보고 트윗 합니까? 
심판과 은혜라는 주제를 아주 진지하게 잘 다뤘어요!",2016-04-14
[리뷰]극장판 울트라맨 우주 몬스터 대결전  다수의 캐릭터 때문에 집중에 방... (출처 : 무비조이 | 네이버 뉴스검색) http://me2.do/FZeHznHB ,2016-04-15
울트라맨 극장판 우주몬스터대결전 관람! 원로 울트라맨들 보는 것만으로도 만족스러웠습니다.고모라다시 보게되었습니다.#울트라맨 #울트라맨극장판 #고모라 pic.twitter.com/MAcspJSp9I,2016-04-17
극장판 울트라맨 우주 몬스터 대결전~은 수요일에 다 끝인 분위기인데  당장 오늘 부터 아침 10시나 11시 타임 빼면 하는데가 없다…,2016-04-18
"여러분  울트라맨 코스모스 2004년 극장판은 보고 트윗 합니까? 
심판과 은혜라는 주제를 아주 진지하게 잘 다뤘어요!",2016-04-18
뭣? 메가박스에서 울트라맨 극장판을 상영한다고?,2016-04-21
<극장판 울트라맨: 우주 몬스터 대결전>  <키카이더 리부트> VOD 출시. <키카이더 리부트>는 극장 개봉 없이 VOD로 직행한 듯하다. 사진은 올X TV. pic.twitter.com/d0bkCXb6Kn,2016-04-21
<극장판 울트라맨 X: 왔다! 우리들의 울트라맨> 블루레이 / DVD 7월 22일 일본 발매. 보너스 디스크 등이 추가된 블루레이 메모리얼 박스도 나온다. http://atomicray.net/archives/5148 pic.twitter.com/nPQqtU4sjH,2016-04-22
맞다.. 보우켄레드인 타카하시상이 결혼한 배우자는 울트라맨 넥서스에서 렌의 히로인으로 등장했던 분이고.. 그 뒤 제로 극장판에서 살로메성인 역을 했던 분이었다... 역시 치프 우주에가서도 외계인을 꼬셨다고 웅성웅성했지...,2016-04-22
"특촬배우라고 하기엔 민망한 일본 배우 결합으로는 울트라맨 제로 극장판의 다이고(누나가 유명한 BL작가인 그 다이고)+세일러마스(키아가와 케이코는 여배우로 더 유명하지만)
많이 모르지만.... 오랜만에 찾아볼까....?",2016-04-22
울트라맨 오브가 뭐...라고...?????????? 하.. 제로 극장판 이후로 안봤었는데 다시 봐야지ㅠㅠㅠㅠㅠㅠㅠ,2016-04-25
극장판 울트라맨 우주 몬스터 대결전 (Mega Monster Battle: Ultra Galaxy Legends - The Movie  2009  더빙),2016-04-28
"여러분  울트라맨 코스모스 2004년 극장판은 보고 트윗 합니까? 
심판과 은혜라는 주제를 아주 진지하게 잘 다뤘어요!",2016-04-30
"+네타거리
3. 울트라맨 코스모스(하루카제콤비 최고!!! + 네타거리. 우주에서 잘 살고 있니? 잘살더라.. 선배는 호라가 되었는데ㅋㅋㅋ
기타등등 (안본건 제외하니까...
기억남는 엔딩은 다이나. 사랑의 전사! 제로 극장판에서 as해준 다이나!",2016-05-08
