Date,Frequancy
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,0
2016-10-05,2
2016-10-06,0
2016-10-07,1
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,1
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,1
2016-10-19,0
2016-10-20,0
2016-10-21,2
2016-10-22,0
2016-10-23,2
2016-10-24,1
2016-10-25,0
2016-10-26,1
2016-10-27,1
2016-10-28,1
2016-10-29,1
2016-10-30,1
2016-10-31,2
2016-11-01,2
2016-11-02,3
2016-11-03,1
2016-11-04,1
2016-11-05,2
2016-11-06,1
2016-11-07,1
2016-11-08,1
2016-11-09,0
2016-11-10,1
2016-11-11,1
