Date,Frequancy
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,1
2015-11-03,1
2015-11-04,0
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,1
2015-11-10,0
2015-11-11,1
2015-11-12,1
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,2
2015-11-17,1
2015-11-18,1
2015-11-19,0
2015-11-20,0
2015-11-21,1
2015-11-22,0
2015-11-23,1
2015-11-24,1
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,1
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,1
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,0
