contents,date
"<극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE> 메인 예고편 (출처 : 네이버 영화 | 네이버 TV캐스트) http://me2.do/GWPz6vvD 

오오오오오예고편!",2015-11-02
"극장에 성우 더빙을 듣기위해서 가야하나....
아니 vs시리즈중에서 내가생각하는 재미없는 다섯손가락에 꼽힐 정도 지루한데...
ㅠㅠ
<극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE> 메인 예고편 http://tvcast.naver.com/v/592412 ",2015-11-03
"[2015-11-06]
[극장판 파워레인저 트레인포스 VS 다이노포스

(烈車戦隊トッキュウジャーVSキョウリュウジャー THE MOVIE)]
[대원미디어(주)]
[전체관람가]
[59분 58초]
https://www.kmrb.or.kr/data/searchMovieView.do?rcv_no=1114969 …",2015-11-09
<극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE> 무료시사회 초대 @꽃돼지블로그 http://blog.naver.com/lorenak/220536243146 …,2015-11-11
"<파워레인저> 40주년 기념 대작!
공룡과 열차  그리고 히어로가 뭉쳤다!
<극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE>
공유 + 같이 보고 싶은 페친 소환! (~11/15)
추첨을... http://fb.me/4dYo51uk9 ",2015-11-12
<극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE> 시사회 당첨자 발표... http://fb.me/2moBUDtLy ,2015-11-16
"#파워레인저 40주년 기념 대작!
공룡과 열차  히어로가 뭉쳤다!
<극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE>

11월 26일  두 히어로는 지구를 구해낼 수 있을까?! http://fb.me/4MZU4NjRr ",2015-11-16
"*** 극장판 파워레인저 초대 이벤트 당첨자 발표!!!⁠ ***

오래 기다리셨죠? ^^
[액션라이브쇼 파워레인저 트레인포스]에서 준비한 
극장판 파워레인저 트레인포스 vs 다이노포스 THE MOVIE... http://fb.me/7ygaplprR ",2015-11-17
"[극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE] ★★★★★ 10 http://me2.do/FUckEjmO  다이노포스와 트레인포스의 궁합최고  너무 재밌어요!
아이가 너무 좋아해요ㅋ 평점 10점 아깝지 않아요! 꼭보세요! 처음부터...",2015-11-18
극장판 파워레인저 트레인포스 vs 다이노포스 THE MOVIE 보고왔어요~♬ http://birdkiss.blog.me/220546144924 ,2015-11-21
"[영화의전당 금주 신작 안내]
- <도리화가> / <맹글혼> / <트립 투 잉글랜드> / <아일랜드-시간을 훔치는 섬> (11.26 ~)
- <극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE> (11.28  29  12.2)",2015-11-23
"주말 가족 관람객을 위한 특별상영!! 어린이 자녀  조카 데리고 룰루랄라♪
<극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE> (우리말 상영) (11.28 ~)
<뽀로로 극장판 컴퓨터 왕국 대모험> (우리말 상영) (12.10 ~)",2015-11-24
[극장판 파워레인저] 트레인포스 VS 다이노포스 THE MOVIE http://blog.naver.com/kissangel007/220553174127 …,2015-11-28
[맥스무비] 영화정보 - 극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094100 …,2015-12-07
