Date,Frequancy
2015-11-10,0
2015-11-11,3
2015-11-12,18
2015-11-13,1
2015-11-14,1
2015-11-15,1
2015-11-16,20
2015-11-17,4
2015-11-18,3
2015-11-19,4
2015-11-20,1
2015-11-21,2
2015-11-22,3
2015-11-23,17
2015-11-24,21
2015-11-25,17
2015-11-26,5
2015-11-27,14
2015-11-28,3
2015-11-29,1
2015-11-30,5
2015-12-01,7
2015-12-02,5
2015-12-03,4
2015-12-04,4
2015-12-05,9
2015-12-06,7
2015-12-07,5
2015-12-08,13
2015-12-09,7
2015-12-10,34
2015-12-11,21
2015-12-12,12
2015-12-13,6
2015-12-14,10
2015-12-15,8
2015-12-16,14
2015-12-17,5
2015-12-18,5
2015-12-19,4
2015-12-20,3
2015-12-21,2
2015-12-22,3
2015-12-23,4
2015-12-24,0
2015-12-25,2
2015-12-26,0
2015-12-27,0
2015-12-28,2
2015-12-29,0
2015-12-30,1
2015-12-31,0
2016-01-01,1
2016-01-02,0
2016-01-03,4
2016-01-04,1
2016-01-05,1
2016-01-06,2
2016-01-07,0
2016-01-08,0
