contents,date
"[나를 미치게 하는 여자] 리얼공감 시사회 이벤트!!

사랑 따윈 개나 줘버려!
비긴어게인 제작인이 약빨고 만든 극한 로맨스!

≫ 응모기간: 2015.11.11(수) ~ 2015.11.18(수)
≫... http://fb.me/6XvbrDfpa ",2015-11-11
"NYLON event] 영화 <나를 미치게 하는 여자> 시사회 EVENT !
<비긴 어게인> 제작진이 만든 극한로맨스!
<섹스 앤 더 시티> 보다 발칙하고 <브리짓 존스> 보다 당당한 뉴욕의 싱글녀... http://fb.me/2mNepaqKW ",2015-11-11
<무비프리 시사회 이벤트> 나를 미치게 하는 여자  Trainwreck 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하.. http://app.moviepre.co.kr  pic.twitter.com/ZrWUkJqvId,2015-11-11
"나를 미치게 하는 여자 X 랭킹닭컴 
다이어트 제품 증정 콜라보레이션 시사회!!

시사회신청 http://blog.lovesongday.com/83 

응모기간: 11월 12일(목)~11월 23일(월)... http://fb.me/2dU0V7vVk ",2015-11-12
[러브송데이][콜라보레이션 시사회] 랭킹닭컴 x 나를미치게하는여자 http://blog.lovesongday.com/83 ,2015-11-12
[12월 개봉영화/나를 미치게 하는 여자] 메인예고편공개. 이제는 진짜 사랑을 만날 수 있을까? http://jins3112.blog.me/220537548308 ,2015-11-12
<Trainwreck>은 어째서 <나를 미치게 하는 여자>라는 제목을 갖게 되었을까요?,2015-11-12
"[Lumigarnet Cultural Event] 나를 미치게 하는 여자 시사회 이벤트!

'비긴어게인'에서 배신에 울던 당신  비긴어게인 제작진이 약먹고 만든 극한로맨스 나를 미치게하는 여자에서 웃을... http://fb.me/3yXdN5jRt ",2015-11-12
"<COSMO EVENT>나를 미치게 하는 여자 시사회 이벤트

<비긴 어게인> 제작진이 약빨고 만든 극한로맨스!
<섹스 앤 더 시티> 보다 발칙하고 <브리짓 존스> 보다 당당한 뉴욕의 싱글녀 에이미의... http://fb.me/3SuAmHiN7 ",2015-11-12
<무비프리 시사회 이벤트> 나를 미치게 하는 여자  Trainwreck 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하.. http://app.moviepre.co.kr  pic.twitter.com/Y6p7ii6Upl,2015-11-12
<무비프리 시사회 이벤트> 나를 미치게 하는 여자  Trainwreck 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하.. http://app.moviepre.co.kr  pic.twitter.com/BsDs2eoqS0,2015-11-12
