Date,Frequancy
2016-01-05,2
2016-01-06,1
2016-01-07,5
2016-01-08,3
2016-01-09,0
2016-01-10,1
2016-01-11,2
2016-01-12,4
2016-01-13,14
2016-01-14,3
2016-01-15,0
2016-01-16,1
2016-01-17,1
2016-01-18,12
2016-01-19,8
2016-01-20,5
2016-01-21,2
2016-01-22,2
2016-01-23,4
2016-01-24,6
2016-01-25,1
2016-01-26,2
2016-01-27,2
2016-01-28,0
2016-01-29,7
2016-01-30,2
2016-01-31,1
2016-02-01,5
2016-02-02,2
2016-02-03,4
2016-02-04,5
2016-02-05,9
2016-02-06,5
2016-02-07,4
2016-02-08,6
2016-02-09,4
2016-02-10,5
2016-02-11,4
2016-02-12,5
2016-02-13,0
2016-02-14,3
2016-02-15,1
2016-02-16,4
2016-02-17,2
2016-02-18,1
2016-02-19,1
2016-02-20,0
2016-02-21,1
2016-02-22,1
2016-02-23,1
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,2
2016-03-01,0
2016-03-02,1
2016-03-03,1
2016-03-04,0
