Date,Frequancy
2016-02-29,2
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,1
2016-03-06,1
2016-03-07,2
2016-03-08,1
2016-03-09,2
2016-03-10,4
2016-03-11,2
2016-03-12,1
2016-03-13,1
2016-03-14,5
2016-03-15,5
2016-03-16,0
2016-03-17,1
2016-03-18,2
2016-03-19,2
2016-03-20,6
2016-03-21,5
2016-03-22,6
2016-03-23,2
2016-03-24,7
2016-03-25,4
2016-03-26,2
2016-03-27,4
2016-03-28,2
2016-03-29,7
2016-03-30,13
2016-03-31,6
2016-04-01,4
2016-04-02,4
2016-04-03,3
2016-04-04,4
2016-04-05,6
2016-04-06,5
2016-04-07,7
2016-04-08,7
2016-04-09,9
2016-04-10,2
2016-04-11,11
2016-04-12,6
2016-04-13,8
2016-04-14,6
2016-04-15,2
2016-04-16,0
2016-04-17,2
2016-04-18,0
2016-04-19,1
2016-04-20,0
2016-04-21,0
2016-04-22,1
2016-04-23,1
2016-04-24,1
2016-04-25,2
2016-04-26,1
2016-04-27,0
2016-04-28,0
