contents,date
<나의 그리스식 웨딩2>  <맘마미아> 제작진의 2016 빅 프로젝트 (출처 : 문화소믈리.. | 네이버 블로그) http://me2.do/GoJhgpPO  #맘마미아 #나의그리스식웨딩2 #개봉예정영화 #영화,2016-02-29
"[맘마미아] 제작진의 전국민 공감 코미디!
[나의 그리스식 웨딩 2] 3/30 대개봉! pic.twitter.com/rAlxTsZZoq",2016-02-29
"꽃할배부터 태양의 후예까지!
[나의 그리스식 웨딩 2]로 그리스를 만나보세요!
3/30 전국 대개봉!",2016-03-05
네0이버 메인에 나의 그리스식 웨딩2 광고 이미지 뜰때마다 위화감이 열일해서 토할것같음 눈썹에 파데 발라서 색 죽이고 눈썹 그려논거 볼때마다 짜증나서 네이버 끔,2016-03-06
"[맘마미아] 제작진의 2016 빅프로젝트!
[나의 그리스식 웨딩 2] 3/30 대개봉! pic.twitter.com/53k3FWizKT",2016-03-07
"말 많고 흥 많은 가족이 돌아왔다…영화 ‘나의 그리스식 웨딩2’ 스페셜 예고편 공개: ▲ 영화 나의 그리스식 웨딩 2(감독 커크 존스) 스페셜 예고편 캡처.(뉴스컬처)     ©사진=누리픽쳐스

... http://bit.ly/1YlPkIO ",2016-03-07
나의 그리스식 웨딩 2가 나오는구나.  첫 편은 재밌게 본 기억이 있는데 2는 별로일 느낌.,2016-03-08
나의 그리스식 웨딩2 시사회 EVENT http://blog.naver.com/topflash77/220650176548 …,2016-03-09
"[영화 시사회 초대 이벤트]

전세계를 강타한 흥부자 가족이 돌아왔다 나의 그리스식 웨딩2 !
전편 보다 더욱 ~더 강렬해졌다.

여러분들을 시사회에 초대 합니다.

기간 : 2016.3.9 ~... http://fb.me/7zc4LDYaU ",2016-03-09
<나의 그리스식 웨딩2> 3월9일 이벤트 당첨자 발표 http://fb.me/2Ko52589g ,2016-03-10
BSTODAY 모바일 사이트  영화 '나의 그리스식 웨딩2'  웹툰 '윌유메리미'와 콜라보 작품 공개 http://m.bstoday.busan.com/news/articleView.html?idxno=56632 …,2016-03-10
나의 그리스식 웨딩2 http://blog.naver.com/hjsrokmp/220650742154 …,2016-03-10
"[NYLON event] 영화 <나의 그리스식 웨딩2> 시사회 초청 이벤트!
전세계를 강타한 흥부자 가족이 돌아왔어요!
전국민 공감 코미디! 이벤트에 참여하시면 추첨을 통해
영화 <나의 그리스식 웨딩2>... http://fb.me/3RUoyAi3d ",2016-03-10
[나의 그리스식 웨딩2]시사회 이벤트(~3.20) http://ll93324785.blog.me/220652640054 ,2016-03-11
"전세대 공감 코미디 영화#나의그리스식웨딩2
과사(과거사진)vs현재 내려보기!

 2002년에 #나의그리스식웨딩이 있었다면
2016년엔 더욱 강력한 #나의그리스식웨딩2가 있다!

 내려보기로... http://fb.me/4tosJXjWY ",2016-03-11
나의 그리스식 웨딩 2 pic.twitter.com/B4lj1RLbtE,2016-03-12
전국 영화관은 [나의 그리스식 웨딩 2] 열풍! pic.twitter.com/45LZVaAppL,2016-03-13
<나의 그리스식 웨딩 2> 메인예고편 기대평 댓글이벤트 당첨자 발표 http://fb.me/7PToaW7JH ,2016-03-14
나의 그리스식 웨딩 2 :: 네이버 영화 (출처 : 네이버 영화) http://me2.do/G9qGh2S7  이게 속편이 나오다니...........;;;,2016-03-14
