Date,Frequancy
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,1
2016-06-20,0
2016-06-21,1
2016-06-22,0
2016-06-23,1
2016-06-24,4
2016-06-25,3
2016-06-26,1
2016-06-27,4
2016-06-28,1
2016-06-29,2
2016-06-30,5
2016-07-01,2
2016-07-02,1
2016-07-03,0
2016-07-04,2
2016-07-05,5
2016-07-06,6
2016-07-07,5
2016-07-08,6
2016-07-09,1
2016-07-10,0
2016-07-11,4
2016-07-12,7
2016-07-13,17
2016-07-14,11
2016-07-15,11
2016-07-16,17
2016-07-17,14
2016-07-18,17
2016-07-19,11
2016-07-20,11
2016-07-21,12
2016-07-22,14
2016-07-23,11
2016-07-24,11
2016-07-25,21
2016-07-26,12
2016-07-27,13
2016-07-28,16
2016-07-29,10
2016-07-30,11
2016-07-31,11
2016-08-01,13
2016-08-02,12
2016-08-03,13
2016-08-04,13
2016-08-05,6
2016-08-06,10
2016-08-07,6
2016-08-08,26
2016-08-09,11
2016-08-10,12
2016-08-11,5
2016-08-12,12
