contents,date
나의 산티아고 다시보기 https://popepru.wordpress.com/2016/06/20/%eb%82%98%ec%9d%98-%ec%82%b0%ed%8b%b0%ec%95%84%ea%b3%a0-%eb%8b%a4%ec%8b%9c%eb%b3%b4%ea%b8%b0 …,2016-06-19
"<나의 산티아고> 
산티아고의 상징 조가비  노란 화살표  십자가를 담은 버튼 뱃지가 관객분들을 기다립니다개봉 전에는 시사회  개봉 이후에는 예매 이벤트로 관객 여러분들찾아갈 예정입니다 7월 14일 대개봉! pic.twitter.com/KIQNgDwtSi",2016-06-21
"론리플래닛 매거진이 준비한 영화 <나의 산티아고> 시사회 이벤트!

42일간 나를 찾아 떠나는 800km의 여정. #산티아고순례길에서 만난 세 남녀의 우정을 다룬 영화 #나의산티아고 시사회에 총... http://fb.me/1jmjEos8k ",2016-06-23
힐링영화 나의 산티아고 42일간의 여정 http://zenzang75.blog.me/220744757674 ,2016-06-24
베스트셀러 원작 <나의 산티아고> 국내판 메인 예고편 http://buff.ly/28QRtrN pic.twitter.com/suVEW2USHg,2016-06-24
[캠핑톡][이벤트] '나의 산티아고' 영화시사회 초대 #캠핑톡 http://bit.ly/28QlPL1 pic.twitter.com/pJztZDP1jS,2016-06-24
"[이벤트] '나의 산티아고' 영화시사회 초대 #캠핑톡
http://bit.ly/28QlPL1 pic.twitter.com/mvRNSuS3kB",2016-06-24
<나의 산티아고> 메인 예고편 http://me2.do/xfOKDopD ,2016-06-25
산티아고 순례길 마드리드 루트 4일차는 어쩌면 나의 전체 여정 중에서 가장 힘든 날이 될 수도 있을 것 같았습니다. 30km를 걷는 내내 아무런 마을도 없는 구간이며  심지어 숙소도 레스토랑도 쉼터도 아무… http://bit.ly/28UAk1h ,2016-06-25
[이벤트] 떠나고 싶은 당신을 위한 영화! <나의 산티아고> 시사회. 7월 5일(화) 저녁 8시  롯데시네마 애비뉴엘 #나의산티아고 #시사회 #buencamino http://bit.ly/28QGNcH  pic.twitter.com/9JbzBTamJr,2016-06-25
[이벤트] '나의 산티아고' 영화시사회 초대 http://fb.me/4WiiD7wDN ,2016-06-26
영화 '나의 산티아고' 관객과의 토크에 초대합니다! http://juttilism.com/220747418665 ,2016-06-27
나의 산티아고)본연의 나를 찾는 고독한 길 http://blog.naver.com/fkdnf0808/220747764058 …,2016-06-27
“나를 일으켜 세우는 800km  42일간의 여정”… 영화 ‘나의 산티아고’ - 시사위크 http://fb.me/4Ipa5Y0B8 ,2016-06-27
7월 중순에 <나의 산티아고>라는 독일 영화가 개봉하는데  영화정보 보자마자 언니 생각나면서 꼭 챙겨봐야겠다 싶더라고요. 길의 끝은 분명히 해피엔딩일 듯^^ 몸 돌봐가며 조심히 다니세요~!,2016-06-27
