Date,Frequancy
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,1
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,2
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,1
2016-09-11,2
2016-09-12,1
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,2
2016-09-21,3
2016-09-22,3
2016-09-23,5
2016-09-24,0
2016-09-25,2
2016-09-26,2
2016-09-27,1
2016-09-28,1
2016-09-29,0
2016-09-30,1
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,1
2016-10-05,0
2016-10-06,1
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
