contents,date
[맥스무비] 영화정보 - 뉴 스텝업: 어반댄스 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000096183 …,2016-08-28
"티아 마이피  케링튼 페인  스탠 워커 주연 <뉴 스텝업: 어반댄스>   9월 22일 개봉 확정.

힙합보다 강렬하고 사랑보다 짜릿하다! 

http://blog.naver.com/cinemaplus/220801994242 … pic.twitter.com/NoTBvpLmpp",2016-09-01
"'스텝업 드디어 완결' 
이번엔 진짜겠지? 
'뉴 스텝업' 
응...? 

9월 개봉.",2016-09-01
[맥스무비] 영화정보 - 뉴 스텝업: 어반댄스 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000096183 …,2016-09-10
"뉴 스텝업: 어반댄스
출처 : 네이버 영화 @BAP_Daehyun http://naver.me/FOPsoytP ",2016-09-11
영화 뉴 스텝업: 어반댄스 토렌트 다시보기 다운 BluRay H264 AAC dvd mkv http://iuuhs.com/iuuhs/?p=3807 ,2016-09-11
 뉴 스텝업: 어반댄스 New Step Up : Urban Dance http://blog.naver.com/jade104/220811466709 …,2016-09-12
[맥스무비] 영화정보 - 뉴 스텝업: 어반댄스 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000096183 …,2016-09-20
"어? 내일 뉴 스텝업 개봉이라고 되어있네
스텝업 후속작인가??",2016-09-20
뉴 스텝업 어반댄ㅅ  포스터에 패리스 고블이 있던데 나온다는거니 안무를 짜줬다는거니,2016-09-21
"9월 넷째 주 개봉작 화면비
(비스타:V 스코프:S)

나홀로 휴가 V
대결 S
한강블루스 S

뉴스텝업 V
더울프팩 V
봉신연의 S
불량소녀 너를 응원해 V
아이엠어히어로 S
칠드런오브맨 V

[재개봉]
매트릭스S
별을 쫓는 아이V
우리도 사랑일까V",2016-09-21
일단 별을 쫓는 아이랑 고백실행위원회? 예매했다 ㅇㅇ! 근데 뉴스텝업 어반댄스 뭔데 ㅡㅡ... 스탭업 끝이라매... 평점도 엄청 안좋은데 괜히 낸거 같은데 분명히 ㅡㅡ..... 보긴 볼거지만 ㅠㅠ,2016-09-21
암울한 미래 한 줄기 희망 '칠드런 오브 맨' (영화 '칠드런 오브 맨'(Children Of Men)  '아이 엠 히어로'  '대결'  '뉴 스텝업: 어반댄스') http://youtu.be/9pJ3NhN3Jho ,2016-09-22
"뉴 스텝업:어반댄스:  

힙합보다 강렬하고 사랑보다 짜릿하다!

군대에 입대하라는 아버지의 강요를 피해 크루 활동을 하며 춤을 향한 열정과 꿈을 키워나가는 힙합 댄서 ‘투’
어... http://bit.ly/2cY8z9r ",2016-09-22
스텝업 시리즈 좋아해서 안 빼먹고 챙겨봤는데 이번에 뉴스텝업 대실망...,2016-09-22
뉴스텝업에 무쓰가 안나와서슬프미,2016-09-23
뉴스텝업 봐야지,2016-09-23
뉴 스텝업 어반댄스토렌트 다시보기 다운 BluRay.x264.AC3-One dvd http://iuuhs.com/iuuhs/?p=6086 ,2016-09-23
"뉴 스텝업 후기
나처럼 스텝업을 너무 좋아해 꼬박 다 챙겨보는 이들에게는 실망을 주는 영화가 
 아무 생각없이 보시는 이들에겐 그냥 그럭저럭 눈요기되고 볼만한 영화가 될듯",2016-09-23
"뭔가 이상해서 찾아보니 

《뉴 스텝업: 어반댄스》(Born to Dance)는 2015년 공개된 뉴질랜드의 댄스 영화이다. 《스텝 업 시리즈》와는 관계가 없는 작품이다.

어쩐지 ㅎㅎ 그래도 괜찮았음.",2016-09-23
"뉴 스텝업-어반댄스
평가 : 좋았어요
http://m.cgv.co.kr/WebAPP/MovieV4/MovieDetail.aspx?MovieIdx=78944 …
#NewZealand accent 와 어우러진 환상의 Dancing Time!! w/ #Kherington_Payne #Born_to_Dance",2016-09-25
2016년 9월 넷째주 개봉영화: 칠드런 오브 맨 ★☆    불량소녀  너를 응원해! ★    아이 엠 어 히어로 ★    나홀로 휴가 ★    뉴 스텝업: 어반댄스 ★    대결 ★    몽키킹... http://bit.ly/2d9Nb0S ,2016-09-25
[맥스무비] 영화정보 - 뉴 스텝업: 어반댄스 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000096183 …,2016-09-26
[KOFIC 주간 다양성 박스오피스 16/9/19~9/25] 1.아이엠어 히어로 2.카페 소사이어티 3.뉴 스텝업 4.로빈슨 크루소 5.불량소녀  너를 응원해! 6.장난감이 살아있다 7.자백 8.봉신연의: 영웅의 귀환 9.나홀로 휴가 10.불의 전차,2016-09-26
[맥스무비 - 영화정보] 뉴 스텝업: 어반댄스 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000096183 … ,2016-09-27
"뉴 스탭업 어반댄스.
이 시리즈는 뒤로 갈수록 매력이없다. pic.twitter.com/khcygFwwiV",2016-09-28
★ 넷파일뉴 스탭업 : 어반댄스 http://netfile.tistory.com/1071 ,2016-09-30
[KOFIC 주간 다양성 박스오피스 16/9/26~10/2] 1.아이엠어 히어로 2.카페 소사이어티 3.립반윙클의 신부 4.뉴 스텝업 5.다가오는 것들 6.불량소녀  너를 응원해! 7.자백 8.브링홈:아버지의 땅 9.로빈슨 크루소 10.나홀로 휴가,2016-10-04
시바 스텝업 끝내놓고 이렇게 뒤끝 부리기야? 뉴스텝업이라닠ㅋㅋㅋㅋㅋㅋㅋㅋ 그래도 난 보겟지 ㅅㅂ     pic.twitter.com/GBrpT4uU7H,2016-10-06
