Date,Frequancy
2016-05-17,1
2016-05-18,4
2016-05-19,3
2016-05-20,5
2016-05-21,1
2016-05-22,2
2016-05-23,7
2016-05-24,3
2016-05-25,1
2016-05-26,0
2016-05-27,3
2016-05-28,0
2016-05-29,0
2016-05-30,2
2016-05-31,6
2016-06-01,5
2016-06-02,6
2016-06-03,4
2016-06-04,6
2016-06-05,2
2016-06-06,3
2016-06-07,5
2016-06-08,4
2016-06-09,6
2016-06-10,5
2016-06-11,5
2016-06-12,2
2016-06-13,6
2016-06-14,4
2016-06-15,9
2016-06-16,21
2016-06-17,12
2016-06-18,9
2016-06-19,9
2016-06-20,7
2016-06-21,8
2016-06-22,2
2016-06-23,0
2016-06-24,2
2016-06-25,1
2016-06-26,1
2016-06-27,0
2016-06-28,0
2016-06-29,1
2016-06-30,1
2016-07-01,1
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,1
2016-07-06,0
2016-07-07,1
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,0
