contents,date
"[CONTEST] <닌자터틀:어둠의 히어로> 팬아트  일러스트 공모! (~6/6까지) 그림연습도 하고 블루투스 스피커  백팩  USB 등 경품과 영화예매권 등도 받아가세요!
(더 알아보기)... http://fb.me/75EsovKog ",2016-05-17
@YouTube 동영상 http://youtu.be/4sa0tkihMA4?a  닌자터틀: 어둠의 히어로 | Trailer #3 | SUB | 파라마운트 픽쳐스,2016-05-18
<닌자터틀: 어둠의 히어로> 공식 스틸 모음 http://buff.ly/1W22g8S pic.twitter.com/tmF62zyQFE,2016-05-18
<닌자터틀 : 어둠의 히어로> 최신 캐릭터 포스터 & TV 스팟 2종 http://buff.ly/25b1cop pic.twitter.com/wER0VdNIkN,2016-05-18
'닌자터틀: 어둠의 히어로' 6월 개봉 앞두고 닌자터틀 4총사 매력 담은 보도스... (출처 : 아시아투데이 | 네이버 뉴스검색) http://me2.do/F3gVoZDy ,2016-05-18
닌자터틀 어둠의히어로 드디어 개봉하는구나 ㅋㅋㅋㅋ6월달!!!!!!!!!! http://blog.naver.com/mds1120/220714439298 …,2016-05-19
<닌자터틀: 어둠의 히어로> 국내판 메인 예고편 공개 http://buff.ly/1YFb4zs pic.twitter.com/HOT9Nc2P9S,2016-05-19
6월에 극장에서 무조건 봐야하는 영화 - 워크래프트 전쟁의 서막  정글북  닌자터틀 어둠의 히어로  인디펜던스데이 리써전트. 7월로 가면 도리를 찾아서  제이슨 본  부산행이 대기,2016-05-19
닌자터틀 속편  [닌자터틀: 어둠의 히어로] 포스터  예고편  스틸컷 공개 http://blog.naver.com/juckwoo/220710134512 …,2016-05-20
영화 닌자터틀 : 어둠의 히어로 국내 6월 개봉 메간 폭스 스티븐 아멜 http://davemovie.tistory.com/13 ,2016-05-20
자이언티  데뷔 후 첫 영화 OST '음악적 새 행보'[공식] - [스포츠조선 이유나 기자] 자이언티가 오는 6월 개봉 예정인 영화 '닌자터틀:어둠의 히어로'를 통해 데뷔 후 첫 영화 OST에 도전한... http://ow.ly/aID9500tGIQ ,2016-05-20
[HD+] #자이언티  영화 ‘닌자터틀:어둠의 히어로’로 데뷔 후 첫 OST 도전 http://www.stardailynews.co.kr/news/articleView.html?idxno=96828 …,2016-05-20
"2016년 6월 개봉작중 기대작(들)

아가씨
우리들
양치기들
비밀은없다
백엔의사랑
본투비블루
크리미널
닌자터틀:어둠의히어로",2016-05-20
[스카이에듀] <닌자터틀 : 어둠의 히어로> 예매권 이벤트  (~5/22) 경품: <닌자터틀 : 어둠의 히어로> 예매권 1인 2매  https://www.facebook.com/superskyedu/videos/1094868350554887/ …,2016-05-21
[닌자터틀: 어둠의 히어로] 30초 예고편 https://www.youtube.com/watch?v=UlMAbBUr6-E&feature=share …,2016-05-22
"오ㅏ..스케일 대박 장난아님bb

더 날쎄고 강해진 #닌자터틀 4총사의
역대급 액션 어드벤쳐 블록버스터!

<닌자터틀: 어둠의 히어로> 6월 대개봉 http://fb.me/3ALY8NA4Y ",2016-05-22
[닌자터틀: 어둠의 히어로] 새로운 스틸컷 공개 http://jins3112.blog.me/220717524674 ,2016-05-23
[닌자터틀 : 어둠의 히어로] 메인 예고편: http://youtu.be/-cjM0wSOWPU?a  (@YouTube),2016-05-23
"코와붕가!! 기억하시는 분:)
-닌자터틀:어둠의 히어로 팬아트공모전 진행중
(더보기) http://goo.gl/DQnoAD ",2016-05-23
<닌자터틀: 어둠의 히어로> 일본판 티저 포스터 http://buff.ly/22lpV40 pic.twitter.com/IybOy1KQeF,2016-05-23
<닌자터틀: 어둠의 히어로> 6월 16일 개봉 확정 http://buff.ly/1TtDx7J  pic.twitter.com/YLP4lRheqp,2016-05-23
<닌자터틀: 어둠의 히어로> 팬심 충만 경품 이벤트 개시 http://buff.ly/1RiVKm7 pic.twitter.com/PJjVRWK6t0,2016-05-23
BSTODAY 모바일 사이트  '닌자터틀:어둠의 히어로'  6월 16일 개봉 확정...메인 예고편 공개 http://m.bstoday.busan.com/news/articleView.html?idxno=69701 …,2016-05-23
"닌자터틀: 어둠의 히어로 메인 예고편 
https://youtu.be/Sy-NghbTd2k ",2016-05-24
닌자터틀2 CG와 새 포스터: 닌자 터틀2 어둠의 히어로의 CG 동영상과 새 포스터가 공개되었습니다. 항상 CG 동영상은 어색하지만 영화가 만들어지는 과정을 살펴볼 수 있어서 참 좋은 것 같... http://bit.ly/1Tucn5W ,2016-05-24
[닌자터틀 어둠의 히어로] 닌자터틀 어둠의 히어로 메인예고편과 공개된 개성만점 보도스틸입니다. http://blog.naver.com/artgihun/220718154309 …,2016-05-24
http://goo.gl/pxdNtK  [닌자터틀: 어둠의 히어로] 메인 예고편 (한글자막),2016-05-25
"'닌자터틀:어둠의히어로' 팀플레이 예고편 공개 ""세상을 구할 줄 알았어?"" http://redirect.viglink.com/?u=http%3A%2F%2Ftimeboard.co.kr%2Findex.php%3Fpg%3Ddetail%26category%3D18%26article%3D14960%26rss%3Dr&key=ddaed8f51db7bb1330a6f6de768a69b8 …",2016-05-27
영화 <닌자터틀: 어둠의 히어로> 팀플레이 예고편 공개!: 영화 팀플레이 예고편 6월 16일 개봉예정영화 팀플레이 예고편이 공개되었습니다~^^ 영화 팀플레이 예고편 팀플레이 예고편... http://bit.ly/1WYT85y  blogonna,2016-05-27
[닌자터틀 : 어둠의 히어로] 새로운 예고 클립 공개 http://blog.naver.com/juckwoo/220720532835 …,2016-05-27
[닌자터틀: 어둠의 히어로] 팀플레이 영상 공개 http://jins3112.blog.me/220723536395 ,2016-05-30
"http://atonal.egloos.com/4114803  북미 박스오피스는 엑스맨 아포칼립스가 1위. 전작보단 못하지만 좋은 출발. 그에 비해 거울나라의 앨리스는 좀...

주토피아 10억 달러 돌파 코앞.

이번주에는 닌자터틀 : 어둠의 히어로 개봉.",2016-05-30
영화 <닌자터틀:어둠의 히어로> 예매권 이벤트 http://giftmap.interest.me/View/4202 ,2016-05-31
롯데리아  ‘닌자터틀-어둠의 히어로’ 제휴 프로모션 진행 http://www.ssennews.com/news/articleView.html?idxno=32339 …,2016-05-31
닌자터틀:어둠의 히어로 http://youtu.be/Yl5cGhvUmSI?a ,2016-05-31
"#페어아이 #이벤트 #박람회 #축제 #전시회 #닌자터틀 #어둠의히어로 #영화 #3d영화 #액션영화 #닌자터틀어둠의히어로

[네이버영화] 닌자터틀 : 어둠의 히어로
http://pair-i.com/event/859 pic.twitter.com/Fzvin9TfqD",2016-05-31
#닌자터틀 어둠의 히어로 시사회 이벤트 - 예스24 http://ch209.tistory.com/466 ,2016-05-31
<닌자터틀 : 어둠의 히어로> 4D 시사회,2016-05-31
[닌자터틀 : 어둠의 히어로]닌자터틀 어둠의 히어로 환상의 팀플레이 예고편 소개합니다.  http://blog.naver.com/artgihun/220725466273 …,2016-06-01
‘닌자터틀: 어둠의 히어로’  프로모션 스케일도 남다른 터틀파워 http://dam27.com/?p=280718 pic.twitter.com/16zP0TyLFB,2016-06-01
[닌자터틀: 어둠의 히어로] 로튼토마토 지수. 6월16일 국내개봉. (포스터출처: Nickelodeon Movies) pic.twitter.com/VwgH9TOxB0,2016-06-01
‘닌자터틀: 어둠의 히어로’  프로모션 스케일도 남다른 터틀파워 http://dam25.com/?p=227890 pic.twitter.com/XuBGvX5vni,2016-06-01
‘닌자터틀: 어둠의 히어로’  프로모션 스케일도 남다른 터틀파워 http://dam27.com/?p=280718 pic.twitter.com/ofglsJJ1Eh,2016-06-01
[닌자터틀] 닌자터틀 피규어와 완구들입니다.: [닌자터틀] 닌자터틀 피규어와 완구들입니다. 닌자터틀 : 어둠의 히어로 감독 데이브 그린 출연 메간 폭스  스티븐 아멜  로라 리... http://bit.ly/1Zghl4G  stocknanda,2016-06-02
강철현 게임폰 모바일게임 :: 2016년 6월 롯데리아 장난감 닌자터틀 어둠의 히어로 피규어 4종 http://i007.tistory.com/5945  @gch007ok 님이 공유,2016-06-02
[더 코리아뉴스] 배순민 기자 = '닌자터틀: 어둠의 히어로'가 6월 16일 개봉을 앞두고 닌자터틀 4총사의... http://thekoreanews.com//detail.php?number=29795 …,2016-06-02
<닌자터틀: 어둠의 히어로> 2차 캐릭터 포스터 & 캐릭터 예고편 공개 http://buff.ly/25BNJpJ pic.twitter.com/FB6sum1ZeM,2016-06-02
'닌자터틀: 어둠의 히어로' 4총사 캐릭터 포스터 공개 '비글미' #theFact http://goo.gl/lXmLEI ,2016-06-02
2016년 6월 롯데리아 장난감 닌자터틀 어둠의 히어로 피규어 4종 http://i007.tistory.com/5945 ,2016-06-02
[맥스무비] 영화정보 - 닌자터틀 : 어둠의 히어로 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094726 …,2016-06-03
'닌자터틀:어둠의히어로' 4DX 개봉 확정  관람포인트 셋 http://redirect.viglink.com/?u=http%3A%2F%2Ftimeboard.co.kr%2Findex.php%3Fpg%3Ddetail%26category%3D18%26article%3D15328%26rss%3Dr&key=ddaed8f51db7bb1330a6f6de768a69b8 …,2016-06-03
 닌자터틀 : 어둠의 히어로 Teenage Mutant Ninja Turtles : Out Of The Shadow http://blog.naver.com/jade104/220727284711 …,2016-06-03
롯데리아 닌자터틀 어둠의 히어로 피규어 세트 라파엘 닌자거북이 영화 인형... http://youtu.be/4vfI_JgFy1U?a ,2016-06-03
[닌자터틀 어둠의 히어로] 롯데리아 콜라컵!: [닌자터틀 어둠의 히어로] 롯데리아 콜라컵! 닌자터틀 : 어둠의 히어로 감독 데이브 그린 출연 메간 폭스  스티븐 아멜  로라 리니 ... http://bit.ly/1XqNh9q  doryfund,2016-06-04
[닌자터틀 콤보] 닌자터틀 어둠의 히어로 콤보 피규어 세트입니다. (출처 :  괴수의왕 .. | http://blog.naver.com/artgihun/220726954075 … 블로그) http://me2.do/FwyaLx3u ,2016-06-04
