Date,Frequancy
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,1
2016-04-17,0
2016-04-18,3
2016-04-19,1
2016-04-20,0
2016-04-21,1
2016-04-22,0
2016-04-23,1
2016-04-24,0
2016-04-25,0
2016-04-26,4
2016-04-27,2
2016-04-28,1
2016-04-29,0
2016-04-30,0
2016-05-01,2
2016-05-02,3
2016-05-03,2
2016-05-04,3
2016-05-05,2
2016-05-06,2
2016-05-07,0
2016-05-08,3
2016-05-09,2
2016-05-10,9
2016-05-11,8
2016-05-12,8
2016-05-13,6
2016-05-14,8
2016-05-15,5
2016-05-16,7
2016-05-17,1
2016-05-18,1
2016-05-19,2
2016-05-20,1
2016-05-21,0
2016-05-22,1
2016-05-23,0
2016-05-24,0
2016-05-25,1
2016-05-26,1
2016-05-27,1
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,1
2016-06-01,1
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,2
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
