contents,date
전트 시리즈도 재밌어요. 다이버전트  인서전트  얼리전트. 얼리전트는 올해 출판된다고.. 영화로도 나올만큼 크게 사랑받았어요. 소설은 묘사가 세세하고 영화는 영상미가 좋아요! 스토리가 조금 다르니 영화부터 보고 소설을 읽는걸 추천해요 ,2016-04-16
"- 5월 12일 '다이버전트 시리즈: 얼리전트'
- 6월 16일 '크리미널'",2016-04-18
<다이버전트 시리즈: 얼리전트> 국내판 포스터 공개  5월 12일 개봉. http://buff.ly/1Soh0xT pic.twitter.com/wul8kfKF6z,2016-04-18
BSTODAY 모바일 사이트  '다이버전트 시리즈:얼리전트'  5월 12일 개봉...국내 포스터 공개 http://m.bstoday.busan.com/news/articleView.html?idxno=63682 …,2016-04-18
[더 코리아뉴스] 배순민 기자 = 영화 '다이버전트 시리즈: 얼리전트'는 장벽 너머의 새로운 미래에 당... http://thekoreanews.com//detail.php?number=26040 …,2016-04-19
'다이버전트' 시리즈 신작 #얼리전트 보도 스틸 12종 공개 http://buff.ly/20ZKXoj pic.twitter.com/VAOqh78DdT,2016-04-21
美 박스오피스 | SF 블록버스터의 등장 <다이버전트 시리즈: 얼리전트> http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101171300 … ^^,2016-04-23
다이버전트 시리즈: 얼리전트 동영상 http://fb.me/7N5zHJcRV ,2016-04-26
[다이버전트 시리즈: 얼리전트] 인류 최후의 생존전쟁 스틸 12종 공개 http://magazine2.movie.daum.net/movie/35039 ,2016-04-26
"[2016-04-25]
[다이버전트 시리즈 : 얼리전트 (The Divergent Series : Allegiant)]
[조이앤시네마]
[12세이상관람가]
[120분 35초]
https://www.kmrb.or.kr/data/searchMovieView.do?rcv_no=1143849 …",2016-04-26
"정글북: ^^ 좀있음 개봉이네?!(6월개봉
다이버전트시리즈: 얼리전트 - 흐미 시펄 저걸 개봉해?",2016-04-26
"[NYLON evnet] 영화 <다이버전트 시리즈: 얼리전트> 예매권 증정 이벤트!
100%! Perfect! SF 블록버스터의 #끝판왕
이 영화를 만난 건 내게 기적이야!
<다이버전트 시리즈:... http://fb.me/143rLBDMG ",2016-04-27
근데 담달에 엑스맨도 있고 얼리전트도 나오더라 다이버전트 시리즈 꾸준하네?? 여긴 근데 로맨스가 쫌 설레 ㅋㅋㅋㅋㅋㅋ,2016-04-27
영화 <다이버전트 시리즈: 얼리전트> 예매권 이벤트 http://giftmap.interest.me/View/4145?vCode=W …,2016-04-28
 다이버전트 시리즈: 얼리전트 The Divergent Series: Allegiant http://blog.naver.com/jade104/220698719183 …,2016-05-01
다이버전트 시리즈 얼리전트 다시보기 토렌트 다운 full http://2701parse.com/wp/2016/05/01/%eb%8b%a4%ec%9d%b4%eb%b2%84%ec%a0%84%ed%8a%b8-%ec%8b%9c%eb%a6%ac%ec%a6%88-%ec%96%bc%eb%a6%ac%ec%a0%84%ed%8a%b8-%eb%8b%a4%ec%8b%9c%eb%b3%b4%ea%b8%b0-%ed%86%a0%eb%a0%8c%ed%8a%b8-%eb%8b%a4%ec%9a%b4-full/ …,2016-05-01
[다이버전트 시리즈: 얼리전트] 30초 예고편: http://youtu.be/HHYUA0HxFP8?a  (@YouTube),2016-05-02
<다이버전트 시리즈: 얼리전트> 1차 예고편 http://m.movie.daum.net/moviedb/video?id=90836&vclipId=50596 …,2016-05-02
[롯데시네마] 얼리버드 다이버전트 시리즈:얼리전트.다이노소어 어드벤처:백악기 공룡대백과(9 000/무료) http://ift.tt/1Y2F5J5 ,2016-05-02
<다이버전트 시리즈: 얼리전트> 시리즈정주행영상으로 1 2 3편 예습복습정리! (출처 : ★ 무비 J.. | http://kaminari2002.blog.me/220700278353  블로그) http://me2.do/FKFHq8gh ,2016-05-03
다이버전트 시리즈 얼리전트는 진짜 평점이 똥망이라(심지어 관객 평점도 ㅋㅋ) 보고 싶은 생각이 전혀 없다. 헝거게임에 속았으니 이제 그만 속아야지..,2016-05-03
다이버전트 시리즈: 얼리전트 X 액션이라도 좀 보여주든가  http://blog.naver.com/lubkhaki/220701521896 …,2016-05-04
[당첨자발표] 영화 '다이버전트 시리즈 : 얼리전트' 예매권 증정 이벤트 http://fb.me/7U7S9kcBU ,2016-05-04
[NYLON event] 영화 <다이버전트 시리즈: 얼리전트>/ 토니모리 ‘립톤 겟잇 틴트 HD’이벤트 당첨자 발표 http://fb.me/3MC2hgoif ,2016-05-04
"<다이버전트 시리즈: 얼리전트> 예고편 공유 이벤트 (~5/9)
.
압도적 스케일의 초대형 SF 블록버스터를 공유하면
예고편을 공유하고 @친구소환!
20명 추첨해  1인 2매씩!
#SF블록버스터_끝판왕... http://fb.me/2wT691aYv ",2016-05-05
다이버전트 시리즈도 넘 좋아했는데 ㅠㅠ 다시 챙겨보고 얼리전트 개봉하믄 보러가야지 ,2016-05-05
'다이버전트 시리즈: 얼리전트' 씨네21 평점 pic.twitter.com/zBoW1YvdJI,2016-05-06
[두끼떡볶이] <다이버전트 시리즈: 얼리전트> 예매권 이벤트 (~5/8) 경품: <다이버전트 시리즈: 얼리전트> 예매권 1인2매 https://www.facebook.com/dookkidookki/photos/a.1441045529546384.1073741828.1441028209548116/1600350503615885/?type=3&theater …,2016-05-06
# 다이버전트 시리즈 : 얼리전트 (Allegiant) 후기  팬이라면 볼만한 3편. (출처 : ★ 무비 J.. | http://kaminari2002.blog.me/220704551867  블로그) http://me2.do/GTfVcxsu ,2016-05-08
[두끼떡볶이] <다이버전트 시리즈: 얼리전트> 예매권 이벤트 https://www.facebook.com/dookkidookki/photos/a.1441045529546384.1073741828.1441028209548116/1600350503615885/?type=3&theater …,2016-05-08
#다이버전트시리즈 #얼리전트 #5월12일대개봉 #초대형_SF_블록버스터pic.twitter.com/clmQ9O3FqD,2016-05-08
2016년 5월 12일 개봉작... [다이버전트 시리즈 : 얼리전트]외 13편 http://blog.daum.net/jjooni73/4454 ,2016-05-09
미치겠네 ㅋㅋㅋㅋ 상영관 2개인 안성롯시는 지금 현재 상영시간표 상에선 얼리전트 아예 안 하네 ㅋㅋㅋ 평택cgv는 한 4번 정도고 ㅡㅡ 그나마 평택메박이 낫네;; 곡성? 이게 상영 독점 하는듯... 다이버전트 시리즈가 비인기류긴 해도 그렇지 넘한다 ㅠ,2016-05-09
"#당첨자발표 <다이버전트 시리즈: 얼리전트> 예고편 공유 이벤트
https://www.facebook.com/akmallcom/videos/1297670263580984/ …
.
당첨되신 분들은 오는... http://fb.me/2FyZtZ409 ",2016-05-10
"영화 <다이버전트 시리즈: 얼리전트>
장벽 너머의 새로운 미래에 당도한 다이버전트 군단이 진실을 숨긴 채 인류를 통제하려는 감시자들에 맞서 펼치는 최후의 생존전쟁을 그린 보고싶은 영화!
기대됩니다. pic.twitter.com/g9I2hCfzXt",2016-05-10
"다이버전트 시리즈-얼리전트
평가 : 별로예요
http://m.cgv.co.kr/WebAPP/MovieV4/MovieDetail.aspx?MovieIdx=78901 …
 인류 최후의 생존전쟁이 시작된다!",2016-05-10
@littlepeace1979 이번에 개봉하는 얼리전트로 다이버전트 시리즈 또한 끝을 내게 되는데요. 전 기대보다 우려가 조금 더 깊어집니다. 인서전트에서 후반의 박진감과 이야기전개가 너무 좋았던 반면에 초중반에 이야기는 탄탄하지 못 했었던거 같았고 ,2016-05-10
[다이버전트 시리즈 3편 : 얼리전트]가 내일 개봉이라니. 마감을 하고 보러 가고싶다다다다다다다다,2016-05-10
@littlepeace1979 다이버전트 시리즈 앞 두 편을 넘 재밌게 봤는데 얼리전트도 무사히 개봉해서 기뻐요 인서전트 보면서는 트리스에 감정이입해서 울면서 본 기억이... 개인적으로 주인공의 감정선이 넘 좋았던 영화에요ㅜㅜ 이번에도 꼭 보고파요,2016-05-10
