Date,Frequancy
2016-09-26,33
2016-09-27,28
2016-09-28,45
2016-09-29,38
2016-09-30,25
2016-10-01,21
2016-10-02,15
2016-10-03,24
2016-10-04,27
2016-10-05,23
2016-10-06,36
2016-10-07,25
2016-10-08,11
2016-10-09,17
2016-10-10,31
2016-10-11,35
2016-10-12,52
2016-10-13,45
2016-10-14,39
2016-10-15,50
2016-10-16,35
2016-10-17,32
2016-10-18,38
2016-10-19,39
2016-10-20,40
2016-10-21,33
2016-10-22,32
2016-10-23,37
2016-10-24,65
2016-10-25,40
2016-10-26,53
2016-10-27,47
2016-10-28,73
2016-10-29,47
2016-10-30,50
2016-10-31,40
2016-11-01,49
2016-11-02,45
2016-11-03,46
2016-11-04,48
2016-11-05,41
2016-11-06,40
2016-11-07,34
2016-11-08,33
2016-11-09,36
2016-11-10,38
2016-11-11,44
2016-11-12,35
2016-11-13,38
2016-11-14,38
2016-11-15,37
2016-11-16,29
2016-11-17,24
2016-11-18,37
2016-11-19,37
2016-11-20,28
2016-11-21,39
2016-11-22,28
2016-11-23,23
2016-11-24,32
