Date,Frequancy
2016-08-23,3
2016-08-24,7
2016-08-25,4
2016-08-26,1
2016-08-27,1
2016-08-28,3
2016-08-29,4
2016-08-30,5
2016-08-31,3
2016-09-01,2
2016-09-02,5
2016-09-03,10
2016-09-04,7
2016-09-05,4
2016-09-06,1
2016-09-07,9
2016-09-08,13
2016-09-09,1
2016-09-10,2
2016-09-11,3
2016-09-12,6
2016-09-13,8
2016-09-14,4
2016-09-15,5
2016-09-16,3
2016-09-17,5
2016-09-18,4
2016-09-19,23
2016-09-20,11
2016-09-21,15
2016-09-22,18
2016-09-23,19
2016-09-24,11
2016-09-25,1
2016-09-26,1
2016-09-27,5
2016-09-28,7
2016-09-29,3
2016-09-30,4
2016-10-01,2
2016-10-02,2
2016-10-03,2
2016-10-04,1
2016-10-05,1
2016-10-06,5
2016-10-07,1
2016-10-08,8
2016-10-09,2
2016-10-10,1
2016-10-11,2
2016-10-12,2
2016-10-13,2
2016-10-14,0
2016-10-15,3
2016-10-16,2
2016-10-17,3
2016-10-18,3
2016-10-19,2
2016-10-20,2
2016-10-21,0
