contents,date
"이주승  N포 세대를 대변하며 특별한 변신에 도전!

영화 <대결>  9월 개봉 확정

http://blog.naver.com/cinemaplus/220791048330 … pic.twitter.com/E0n70vgTrc",2016-08-23
멍뭉 막내 포지션이라 맨날 헤헤 웃고 순둥이 갗은데 조연으로 출연한 영화 뒷풀이에서 배우들 다 술대결로 죽일 듯... 쪼꼬 멍뭉이에서 술고래로 별명 바뀐다... https://twitter.com/mohc10E/status/767938152178733056 …,2016-08-23
그쵸 저 토스 챙겨본 트레키도 아닌데 그냥 오타쿠로서 너무 행복한 영화였던 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ크롤vs커크 물리력 대결이라니 우주파괴에 아브로나스 딱히 필요 없었던거 아닙니까,2016-08-23
"속 뻥 뚫리는 사이다 영화 '대결'
http://naver.me/52rb48oE 
http://www.newsfact.kr/news/articleView.html?idxno=15643 …
#대결 #오지호 #손은서 #이주승pic.twitter.com/dVA9DVZykK",2016-08-24
"동족대결에 영화까지 악용하는 패륜집단
http://www.uriminzokkiri.com/index.php?ptype=ugisa1&no=116062&pagenum=1 …",2016-08-24
염정아-문정희 '두 여배우의 박빙의 각선미 대결'(영화 카트),2016-08-24
[S포토+] #신동엽 감독  '영화 기대해주세요'  (대결 제작보고회) http://www.stardailynews.co.kr/news/articleView.html?idxno=108867 …,2016-08-24
그 대결인지 뭔지 현피영화 그게 안솔빈 영화데뷔작 아닙니까,2016-08-24
"영화 ‘대결’ 오지호  생애 첫 악역 변신 성공할까
http://sports.donga.com/Enter/3/all/20160824/79944436/1 …",2016-08-24
"[영화 '대결' 화끈한 VIP 시사회 초대 이벤트]

무소불위 갑(甲)에 맞서는 
취준생의 통쾌한 한 방!

끝장 액션각! #대결 예고편 공유하고 친구 소환! VIP시사회 초대 받자!

* 일정 :... http://fb.me/JqMiIGGr ",2016-08-24
영화 #대결 #메인예고편 http://fb.me/2A7G9ZcHN ,2016-08-25
고스트 버스터즈 감상: 영화 내내 케이트 맥키넌과 크리스 햄스워스 섹시미 대결이라 어디에 집중해야 할지 아주 흐뭇했다 눈요기 인정합니다 / 액션 신남 / 시니어가 지도교수로 나오신다 / 엔딩크레딧 다 끝나고 쿠키 있음,2016-08-25
"츠바키 산주로 (1962)
요짐보에 이어지는 내용으로 볼 수 있는 영화.
코믹한 장면과 영화적 즐거움이 가미된 작품.
마지막 대결이 압권이다.
#츠바키산주로 #구로사와아키라 #미후네도시로 #요짐보 #야마모토슈고로",2016-08-25
