Date,Frequancy
2016-02-29,8
2016-03-01,8
2016-03-02,3
2016-03-03,5
2016-03-04,5
2016-03-05,4
2016-03-06,6
2016-03-07,12
2016-03-08,11
2016-03-09,9
2016-03-10,11
2016-03-11,6
2016-03-12,12
2016-03-13,10
2016-03-14,28
2016-03-15,17
2016-03-16,13
2016-03-17,10
2016-03-18,14
2016-03-19,19
2016-03-20,8
2016-03-21,39
2016-03-22,26
2016-03-23,21
2016-03-24,33
2016-03-25,33
2016-03-26,17
2016-03-27,14
2016-03-28,37
2016-03-29,38
2016-03-30,39
2016-03-31,37
2016-04-01,39
2016-04-02,38
2016-04-03,28
2016-04-04,32
2016-04-05,22
2016-04-06,10
2016-04-07,14
2016-04-08,14
2016-04-09,8
2016-04-10,9
2016-04-11,14
2016-04-12,5
2016-04-13,5
2016-04-14,10
2016-04-15,4
2016-04-16,2
2016-04-17,7
2016-04-18,17
2016-04-19,12
2016-04-20,13
2016-04-21,8
2016-04-22,15
2016-04-23,17
2016-04-24,13
2016-04-25,6
2016-04-26,6
2016-04-27,9
2016-04-28,4
