contents,date
@vivimbob 손숙 대배우님의 연기에... 전... 못참고..,2016-02-29
"ㅋㅋㅋㅋ대배우 라는 영화 포스터에 소경영아저씨 카피가 '참신한 뉴페이스가 어디 있지 않겠어?' < ㅋㅋㅋㅋㅋㅋㅋㅋ아니 너무 배우랑 엮여서 보이니까 계속 ""아니 저 분이 저런 말을..?"" 이렇게 느껴지잖앜ㅋㅋㅋㅋㅋㅋㅋㅋ",2016-02-29
숨겨졌던 대배우 크리스토프 왈츠 http://blog.naver.com/upsjs/220641676562 …,2016-02-29
‘대배우’  오달수 윤제문 이경영 캐릭터 포스터 공개..개성만점 비주얼 / 브레이크뉴스  http://www.breaknews.com/sub_read.html?uid=431661 …,2016-02-29
@Serazlife 꽃이 아름다움이 더 각별한 마음이 생기는 것은 그 짧은 생명덕분이기도 한 것 같고 ㅎㅎㅎ다른 30대 40대 배우들은 미모 관리 잘하는 배우도 많던데 유독 레오는 ㅋㅋㅋ,2016-02-29
대배우...줄거리를 읽어봐도 무슨 내용일지 1도 짐작되지 않음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2016-02-29
오달수 주연 #대배우 캐릭터 포스터 3종 http://buff.ly/1RyHCbJ pic.twitter.com/i44aNkqSXA,2016-02-29
@lunaboy65 드디어 한국의 대배우님을 오스카에서 초청했군요!! 시차적응은 잘 하셨구요?!!,2016-02-29
@leesongheeil 윤창중에 이어 감독님이 칭송하는 대배우감이 나왔군요,2016-03-01
"극비수사 촬영때 아들역으로 나온 아역이랑 찍은사진 같은데 와 손차이봐......장차 커서 이런 대배우가 되렴
 .. pic.twitter.com/8VasGlTZLt",2016-03-01
' #대배우 '  연기 내공 느껴지는 캐릭터 포스터 공개 http://ow.ly/YRSZw  #오달수 #윤제문 #이경영,2016-03-01
"映画『大俳優』キャラクターポスター　オ・ダルス　イ・ギョンヨン　ユン・ジェムン
영화""대배우""캐릭터 포스터 #오달수 #이경영 #윤제문pic.twitter.com/twtzZYFmkO",2016-03-01
#이슈타임 #대배우 '대배우' 주연 3人3色 매력 포스터 공개 http://bit.ly/1OK6CrY ,2016-03-01
@lemans1447 @therealkim__ 일할땐 완벽하고 빈틈없는 대배우인데 평소엔 헐랭한 네아이의 엄마인게 더 빠지게 하구요 ㅋㅋ 인터뷰만 봐도 진지할땐 진지하시지만 유머와 센스도 잃지 않으시는 분이니까요 ㅋㅋ 매력이 넘쳐흐르시는 분입니다 ,2016-03-01
"@jiangzuomeng_ 20대 배우를 내공잇는 40대 호풍싀가 맡아서 오히려 더 세밀한 감정연기를 보여줄 수 잇엇던 것과 같은 연장선상에 있달까여
사실 위장자에서 가장 입체적인 캐릭터는 명대인데 감정연기가 가장 어려웠을 캐릭터는 명루 같구여",2016-03-01
영정이면 그 대배우?,2016-03-01
영정이면 그 대배우?,2016-03-02
@baldafrique 근데 은근 핏속에 대배우 끼가 있는 것도 같고... 뭐 그래도 설마 연기를 하진 않겠죠 ㅋㅋㅋㅋㅋㅋ 디카프리오스카는 참 받을만 했다 싶다가도  지구의 정의가 없는 것 같기도 하고......,2016-03-02
@picklipse 다크타워 최고캐릭터를 스티븐프라이에게 맡기자는 의견이 나오다니. 대배우인가 봐요~,2016-03-02
뭣보다 내가 좋아하는 배우들이여서 호감이 끼얹어진 건 어쩔 수 없음이다 원래도 좋았지만 연극보고 더 좋아졌다 특히 히들스턴 대배우이다,2016-03-03
'대배우' 오달수  이경영·윤제문과 '남남케미' 완전체 예고 #theFact http://goo.gl/eezVdB ,2016-03-03
그래 나는 충분한 반동분자  테러리스트구나 헛헛하게 인정하며 훠이훠이 걸어 도망치다가 어느덧 정신병원에 끌려갔고  거기 많은 대배우들이 있어 우리는 정신병자를 함께 연기하며 진짜 테러를 몰래 준비해나갔다.,2016-03-03
영정이면 그 대배우?,2016-03-03
오러쎌은 영화 촬영 중 대배우 릴리 톰린에게 쌍욕을 하고 물건을 집어던진 전적이 있음. 그것도 촬영 내내 수 차례. 더스틴 호프만을 비롯 다른 배우들도 존나 어쿼드한 표정으로 말리지도 않고 속수무책. 패턴 보니까 한 명씩 찍어서 존나 괴롭히나봐..,2016-03-03
영정이면 그 대배우?,2016-03-04
카메라 돌아갈때 : 대배우천재배우 우리애기 pic.twitter.com/eyM6RiMk37,2016-03-04
"20년째 무명배우 #오달수
충무로가 발견한 국민배우 #윤제문
세계적인 감독 #이경영
 
개성 강한 배우들의 캐릭터 영상 공개!
자~ 슛들어갑니다! #레디 #액션!
 
#천만요정 #명품연기 #대배우... http://fb.me/7IOCofNqB ",2016-03-04
"http://www.gqkorea.co.kr/2016/02/29/%EC%9C%A0%EC%95%84%EC%9D%B8%EC%9D%84-%EC%96%B4%EB%96%BB%EA%B2%8C-%EC%83%9D%EA%B0%81%ED%95%98%EC%84%B8%EC%9A%94/ …

이 기사가 재밌는 것은 뭐냐면  비단 유아인 뿐만 아니라 정성일이 현재 한국영화 씬의 몇몇 작품과 감독들  소위 대배우를 보는 시각 일부를 노출(의도적으로?)하고 있다는 점 같다.",2016-03-04
"천만요정 오달수표 휴먼 공감 코미디
#대배우 #메인예고편 보고 꿈을 위해 
고군분투하는 친구를 태그하고 응원해주세요!
추첨을 통해 예매권들 드립니다!

영상을 공유하면 당첨확률 UP!!

이벤트 기간:... http://fb.me/Ru9JUPaS ",2016-03-04
영정이면 그 대배우?,2016-03-05
TVN 나영석PD. 이명한 국장 보세요. 꽃청춘이 왜 지난번 아이슬란드.이번 아프리카편이 호응이 떨어질까요? 주요 시청타겟층인  요즘 젊은이들이 상대적 박탈감은 혹시 생각해 보셨는지요. 취업난  고용불안에 힘든데 같은 나이대 배우들이 일반인들은,2016-03-05
<대배우>토탈누적 1억  천만요정 오달수 첫 주연작 (출처 : Project-.. | 네이버 블로그) http://me2.do/GvDpCemM ,2016-03-05
"#가톨릭영화제
영화연기워크숍 1기 개강!
3월 5일(토) #영화연기워크숍 1기(중고생반) 개강! 

2016 처음 신설된 연기워크숍! 
미래의 대배우가 될 수강생 여러분
화이팅 :-)... http://fb.me/3LrKSMCDr ",2016-03-05
