Date,Frequancy
2015-06-16,4
2015-06-17,5
2015-06-18,6
2015-06-19,8
2015-06-20,10
2015-06-21,5
2015-06-22,11
2015-06-23,5
2015-06-24,8
2015-06-25,9
2015-06-26,3
2015-06-27,8
2015-06-28,10
2015-06-29,5
2015-06-30,9
2015-07-01,14
2015-07-02,15
2015-07-03,8
2015-07-04,3
2015-07-05,13
2015-07-06,10
2015-07-07,10
2015-07-08,11
2015-07-09,10
2015-07-10,11
2015-07-11,8
2015-07-12,9
2015-07-13,10
2015-07-14,9
2015-07-15,14
2015-07-16,12
2015-07-17,14
2015-07-18,14
2015-07-19,6
2015-07-20,10
2015-07-21,8
2015-07-22,10
2015-07-23,5
2015-07-24,7
2015-07-25,7
2015-07-26,3
2015-07-27,2
2015-07-28,4
2015-07-29,6
2015-07-30,3
2015-07-31,3
2015-08-01,9
2015-08-02,10
2015-08-03,6
2015-08-04,6
2015-08-05,10
2015-08-06,10
2015-08-07,6
2015-08-08,9
2015-08-09,3
2015-08-10,6
2015-08-11,7
2015-08-12,4
2015-08-13,3
2015-08-14,5
