Date,Frequancy
2016-06-13,5
2016-06-14,3
2016-06-15,7
2016-06-16,2
2016-06-17,2
2016-06-18,4
2016-06-19,7
2016-06-20,9
2016-06-21,2
2016-06-22,8
2016-06-23,3
2016-06-24,8
2016-06-25,4
2016-06-26,0
2016-06-27,6
2016-06-28,5
2016-06-29,8
2016-06-30,6
2016-07-01,5
2016-07-02,7
2016-07-03,4
2016-07-04,4
2016-07-05,6
2016-07-06,5
2016-07-07,6
2016-07-08,4
2016-07-09,5
2016-07-10,9
2016-07-11,7
2016-07-12,6
2016-07-13,7
2016-07-14,13
2016-07-15,6
2016-07-16,12
2016-07-17,12
2016-07-18,10
2016-07-19,15
2016-07-20,12
2016-07-21,9
2016-07-22,17
2016-07-23,10
2016-07-24,9
2016-07-25,8
2016-07-26,8
2016-07-27,9
2016-07-28,8
2016-07-29,9
2016-07-30,10
2016-07-31,9
2016-08-01,6
2016-08-02,8
2016-08-03,20
2016-08-04,5
2016-08-05,6
2016-08-06,7
2016-08-07,10
2016-08-08,1
2016-08-09,7
2016-08-10,5
2016-08-11,5
