contents,date
협만 쓰나미 - 영화 더 웨이브 The Wave (출처 : 슬픈외국어 | http://blog.naver.com/kkamzzi82/220564558818 … 블로그) http://me2.do/5gscPoWU ,2016-06-13
"퀘스트 스토리 잘 안 읽는 친구랑 워크 영화를 보러 가면 이런 느낌.
카라잔 어디더라? / 천둥이 얻는 데. / 아~
모로스 들어봤는데? / 칼잔 2넴  출혈 디버프 타임 어택. / 아~~
메디브? / 시간 동굴에서 웨이브 열던 애. / 아~",2016-06-13
아입니더 웨이브 조아해오,2016-06-13
앗 저도 도그빌 좋았습니다!! 브레이킹 더 웨이브도 좋았어요; ㅋㅋㅋㅋ,2016-06-13
10 없었고  심지어 아무런 인기척조차 나지 않았다. 하지만 소녀는 무언가 느껴진듯 갑자기 길 한복판에서 걸음을 멈추더니  자신의 앞에 저 멀리 모자를 쓰고있는 갈색웨이브머리의 초록색머리의 소녀보다 더 성숙해보이는  여자가 걸어..아니 뛰어오고있는,2016-06-13
[ONSTAGE #102] 더 광폭하고 더 날카롭게 - 한국 헤비메탈의 현재이자 미래인 '메써드'의 라이브 영상을 통해 스레쉬 메탈의 새로운 웨이브를 한껏 누려보세요! http://me2.do/xUR0pTZ ,2016-06-14
ㅡ이기적인 하얀치아 오마이갓 하기전에 웨이브 넣고 팔돌리고 팔웨이브까지 타진까 규븨가 이것도 다시 한번더 해주시면 안돼요? 하니까 노려보곸ㅋㅋ 규븨 프로페서븨할때 칠판지우개들고 때릴려고함ㅋㅋ,2016-06-14
클럽세라에서 오늘 본 중 제일 요염해 내가 홀린 기분이쟈나요. 이젠 힐 신고도 열라 파워워킹. 어디 모델언니신 줄. 뷰티클래스 규븨의 짜증나는 포즈에 칠판지우개 던지려하고. 한번더 보여달란 븨 입때리고 화려한 웨이브기술로 븨 압도ㅋ,2016-06-14
"#트친이_나에게_떠오르는_단어_3가지

모두의 빅웨이브 같으니 저더",2016-06-15
<더 웨이브> 촬영지 '예이랑게르'  어쩐지 <겨울왕국>에서 본 것 같더라니... http://fb.me/UwP6UW2f ,2016-06-15
"여대 붙으면 투블럭 + 탈색 + 오렌지로 염색
공학 붙으면 지금 머리에 더 길러서 웨이브 + 탈색 + 카키색 해야지",2016-06-15
규범이 끝나버려서 백작님 뷰티레슨에서 웨이브는 더 이상 볼 수가 없네ㅠㅠㅠㅠ,2016-06-15
로키가 이왕 머리 기른김에 요 왕자님 머리 해줬으면 좋겠다. 웨이브 있으니까 더 잘어울릴것 같은데 pic.twitter.com/QanxC2mkdP,2016-06-15
「더 웨이브 (波)」「스페이드 Q」인간사 새옹지마. 느긋하고 유연한 자세로 대처하자.,2016-06-15
나 금욜날 클럽 갑니다요~ ^^ 오프숄더 블라우스 하나 샀는데 그거 입고 가려구요~ ^^ 머리 웨이브 만들어서..... ^^ 단발머리 만들어서 나갈까 했는데 숯이 적어서인지 잘 안 되더라고요~ ㅠㅠ 그래서 웨이브로 낙찰..,2016-06-15
#thewave #더웨이브 재난영화 조아옹 pic.twitter.com/HhIPaNhCdR,2016-06-16
오 오늘 웨이브가 잘먹었더,2016-06-16
한국에서도 키쮸랑 사랑의총알 말고 쟈켓 땋! 벗고 웨이브 땋! 해줘라.... 더기춤도 좋고 쟈켓 벗으면서 윗단추 풀어주면 더 좋고.. 휴으.. 애증의더리믹스,2016-06-17
아이돌이나 샤봉서몬이나 웨이브가 더 이득인 건 똑같음 걍 둘 다 웨이브로 갈아치우는 것도 방법이고,2016-06-17
"노몰드 댄브 언젠가 한국에서 한번 더 해주기를 바란댜... 진짜 팔돌리면서 웨이브하는거 진짜 짱이고 최고인데 어떤 단어를 앞에 갖다붙여도 설명할수 없으니 그냥 ""최고"" 라고 말할 수 밖에....",2016-06-18
미용실에서 고데기로 머리 말아줬는데 오른쪽은 벌써 다 풀림. 행복하다며 머리자르던 미용사분.. 전 천연 다리미 머리라 슬퍼요. 생머리보다 웨이브 머리가 더 잘 어울리는 이미지기도 해서.. (T^T),2016-06-18
"언니 항상 웨이브 있는거만 봤는뎅
색다르군 앞머리 있으니까 더 어려졌어",2016-06-18
#38사기동대 #나의소녀시대 #김세정 #더웨이브 #이학영 #세월호 #강소라 #덕혜옹주 #터널 #민효린 #시그널실시간검색어pic.twitter.com/FswrSyC6Nq,2016-06-18
아 유메캐스 이벤곡 더 풀린거 지금 봤네ㄷ ㄷ ㄷ ㄷ 너와나로 웨이브... 스바루 솔로곡 처음쳐봤엌ㅋㅋㅋㅋ 정신없는디 잼따,2016-06-19
아니 원래 여기보다 더 더운건 알았는데 역대급 히트웨이브인줄은..,2016-06-19
더 웨이브 다시보기 https://popepru.wordpress.com/2016/06/20/%eb%8d%94-%ec%9b%a8%ec%9d%b4%eb%b8%8c-%eb%8b%a4%ec%8b%9c%eb%b3%b4%ea%b8%b0 …,2016-06-19
@Apinksne  오구오구 울 애기 오늘도 멋지게 큰행사잘했네 ㅎㅎㅎ 사릉햐 머리 다듬은것두 잘어울린당 더 긴머리에 웨이브가 젤 코피지만서두 ㅎㅎ,2016-06-19
160618 영화가 좋다 문제작_더 웨이브 http://iee.kr/2016/06/19/160618-%ec%98%81%ed%99%94%ea%b0%80-%ec%a2%8b%eb%8b%a4-%eb%ac%b8%ec%a0%9c%ec%9e%91_%eb%8d%94-%ec%9b%a8%ec%9d%b4%eb%b8%8c/ … pic.twitter.com/46dnXfSosJ,2016-06-19
