Date,Frequancy
2016-01-18,43
2016-01-19,68
2016-01-20,39
2016-01-21,59
2016-01-22,37
2016-01-23,38
2016-01-24,51
2016-01-25,41
2016-01-26,41
2016-01-27,38
2016-01-28,42
2016-01-29,37
2016-01-30,38
2016-01-31,35
2016-02-01,41
2016-02-02,46
2016-02-03,51
2016-02-04,44
2016-02-05,40
2016-02-06,40
2016-02-07,49
2016-02-08,53
2016-02-09,40
2016-02-10,41
2016-02-11,72
2016-02-12,45
2016-02-13,62
2016-02-14,53
2016-02-15,46
2016-02-16,86
2016-02-17,63
2016-02-18,94
2016-02-19,57
2016-02-20,93
2016-02-21,55
2016-02-22,63
2016-02-23,80
2016-02-24,43
2016-02-25,36
2016-02-26,70
2016-02-27,68
2016-02-28,65
2016-02-29,57
2016-03-01,63
2016-03-02,72
2016-03-03,43
2016-03-04,46
2016-03-05,37
2016-03-06,41
2016-03-07,52
2016-03-08,60
2016-03-09,57
2016-03-10,52
2016-03-11,91
2016-03-12,47
2016-03-13,67
2016-03-14,39
2016-03-15,57
2016-03-16,38
2016-03-17,40
