Date,Frequancy
2016-12-26,0
2016-12-27,1
2016-12-28,5
2016-12-29,2
2016-12-30,1
2016-12-31,2
2017-01-01,1
2017-01-02,1
2017-01-03,2
2017-01-04,7
2017-01-05,2
2017-01-06,5
2017-01-07,6
2017-01-08,5
2017-01-09,7
2017-01-10,16
2017-01-11,23
2017-01-12,7
2017-01-13,22
2017-01-14,26
2017-01-15,8
2017-01-16,19
2017-01-17,18
2017-01-18,13
2017-01-19,16
2017-01-20,4
2017-01-21,16
2017-01-22,16
2017-01-23,12
2017-01-24,20
2017-01-25,36
2017-01-26,17
2017-01-27,12
2017-01-28,13
2017-01-29,22
2017-01-30,16
2017-01-31,19
2017-02-01,13
2017-02-02,2
2017-02-03,4
2017-02-04,7
2017-02-05,7
2017-02-06,1
2017-02-07,3
2017-02-08,10
2017-02-09,0
2017-02-10,0
2017-02-11,1
2017-02-12,1
2017-02-13,2
2017-02-14,1
2017-02-15,2
2017-02-16,0
2017-02-17,2
2017-02-18,2
2017-02-19,2
2017-02-20,0
2017-02-21,2
2017-02-22,1
2017-02-23,1
