contents,date
"2010년 세계 역사상 최악의 해양 석유 유출 실화 <딥워터 호라이즌>  2017년 1월 25일 개봉 확정! 

2007년 삼성중공업 바지선에 의한 한국 최악의 태안 사고보다 62배 이상 기름 유출!

http://blog.naver.com/cinemaplus/220895607651 … pic.twitter.com/mQWt1xnjYt",2016-12-27
‘딥워터호라이즌’부터 ‘덩케르크’까지  실화 블록버스터가 뜬다! http://tenasia.hankyung.com/archives/1095862 …pic.twitter.com/ZikVR5HuN7,2016-12-28
2017년 극장가로 찾아노는 실화 블록버스터  ‘딥워터 호라이즌’ ‘핵소고지’ http://dam25.com/?p=414024 pic.twitter.com/hkm78rb8bw,2016-12-28
"다음달에 딥워터 호라이즌이라는 재난영화가 개봉하는데 주연이 마크 월버그이고 나는 마크 월버그에 대해 아는 것이 인종차별 범죄자라는 것 뿐이므로 영화를 안 볼 거시다.
http://naver.me/Fh3RVXRo ",2016-12-28
지하철에서 딥워터 호라이즌 예고편 나온다!!!!!!!!!!!,2016-12-28
헐 딥워터 호라이즌 1월 25일 개봉이네 내년에 딜런도 볼 수 있어,2016-12-28
"딥워터 호라이즌 1월25일 개봉!!
케일럽/딜런 오브라이언 pic.twitter.com/Mqbquncmas",2016-12-29
영화 딥워터 호라이즌 예고편 보고나서 판도라 예고편을 다시 봤는데 하.... 특수효과 너무 비교된다 ㅋㅋㅋㅋㅋㅋ,2016-12-29
[딥워터 호라이즌] 2017년 2월 개봉예정 해양 재난 영화 전단지입니다. http://blog.naver.com/artgihun/220898586976 …,2016-12-30
딥워터 호라이즌 http://oneringtrailers.com?m=100643oneringtrailers.com/?m=100643  http://youtu.be/ebXRp-fWy50  • 국내: 2017-01-25,2016-12-31
딥워터 호라이즌 예고를 하네. 1월 25일 개봉인듯. 영화는 망했다지만 딜런이 나오니까 일단 관심을...,2016-12-31
동영상을 @YouTube 재생목록 http://youtu.be/KmqtsP2HzDs?a  [2차 공식 영화예고편] 딥워터 호라이즌 DEEPWATER HORIZON 2016,2017-01-01
[딥워터 호라이즌] 메인 예고편: http://youtu.be/bCh74b57yEs?a  (@YouTube),2017-01-02
최악의 석유 유출 사건 ‘딥워터 호라이즌’  메인 포스터-예고편 공개 ‘눈길’ / 브레이크뉴스  http://www.breaknews.com/483261 ,2017-01-03
뭐임? 광고보는데 딥워터 호라이즌에 딜런 오브라이언 나오네..???????,2017-01-03
"실화 기반!
멕시코만에서 실제 벌어진 원유 유출 사고를 그린
실화 재난 블록버스터!

#딥워터호라이즌
#시선압도 메인 예고편 공개!!

<딥워터 호라이즌> 1월 25일 대개봉! http://fb.me/6TQDHPOmH ",2017-01-04
