Date,Frequancy
2015-11-30,1
2015-12-01,0
2015-12-02,1
2015-12-03,2
2015-12-04,2
2015-12-05,0
2015-12-06,1
2015-12-07,1
2015-12-08,1
2015-12-09,2
2015-12-10,17
2015-12-11,33
2015-12-12,29
2015-12-13,21
2015-12-14,31
2015-12-15,26
2015-12-16,28
2015-12-17,18
2015-12-18,2
2015-12-19,18
2015-12-20,3
2015-12-21,21
2015-12-22,20
2015-12-23,4
2015-12-24,2
2015-12-25,3
2015-12-26,2
2015-12-27,23
2015-12-28,16
2015-12-29,19
2015-12-30,28
2015-12-31,21
2016-01-01,14
2016-01-02,20
2016-01-03,3
2016-01-04,6
2016-01-05,8
2016-01-06,0
2016-01-07,4
2016-01-08,0
2016-01-09,2
2016-01-10,3
2016-01-11,2
2016-01-12,2
2016-01-13,0
2016-01-14,5
2016-01-15,1
2016-01-16,6
2016-01-17,1
2016-01-18,1
2016-01-19,1
2016-01-20,1
2016-01-21,0
2016-01-22,0
2016-01-23,2
2016-01-24,1
2016-01-25,2
2016-01-26,0
2016-01-27,3
2016-01-28,0
