Date,Frequancy
2015-06-09,2
2015-06-10,1
2015-06-11,0
2015-06-12,0
2015-06-13,1
2015-06-14,1
2015-06-15,3
2015-06-16,1
2015-06-17,8
2015-06-18,16
2015-06-19,12
2015-06-20,21
2015-06-21,6
2015-06-22,16
2015-06-23,4
2015-06-24,0
2015-06-25,3
2015-06-26,17
2015-06-27,4
2015-06-28,2
2015-06-29,2
2015-06-30,13
2015-07-01,4
2015-07-02,8
2015-07-03,14
2015-07-04,8
2015-07-05,21
2015-07-06,19
2015-07-07,17
2015-07-08,31
2015-07-09,41
2015-07-10,37
2015-07-11,44
2015-07-12,38
2015-07-13,34
2015-07-14,46
2015-07-15,37
2015-07-16,31
2015-07-17,35
2015-07-18,39
2015-07-19,37
2015-07-20,27
2015-07-21,31
2015-07-22,37
2015-07-23,22
2015-07-24,26
2015-07-25,19
2015-07-26,20
2015-07-27,31
2015-07-28,35
2015-07-29,27
2015-07-30,22
2015-07-31,21
2015-08-01,19
2015-08-02,21
2015-08-03,15
2015-08-04,39
2015-08-05,24
2015-08-06,12
2015-08-07,16
