contents,date
러덜리스 오스트도 좀 부탁드립니다,2015-06-09
"'러덜리스'  음악은 기억이고 추억이자 사랑이다

[리뷰] 상상마당 음악영화제 상영작 '러덜리스'  추억을 다시 일으킨다 
http://www.nbstv.co.kr/sub_read.html?uid=37660&section=sc1&section2= … pic.twitter.com/FteCT39yqY",2015-06-09
서울재즈페스티벌2015 에서 소개된 #진짜음악영화 #러덜리스가 오는 7월 초 개봉 합니다. <위플래쉬>에 이어 선댄스영화제가 발견한 또 하나의 보석 같은 음악영화 <러덜리스>! 신나는 밴드곡 Real... http://fb.me/20lCGTHGo ,2015-06-10
함께 봐요 <러덜리스> 시사회 이벤트  http://blog.naver.com/lubkhaki/220389124337 …,2015-06-13
"러덜리스 클립보니까 사랑이 넘친다.
안톤 옐친 사랑해.
리드 좋아해.
여러분 고마워요. 사랑해요.",2015-06-14
러덜리스란 우스꽝스러운 제목을 사수하면서까지 번역을 하지 않는 이유는 뭐 때문일까?,2015-06-15
Rudderless란 영화가 러덜리스란 제목으로 한국에 개봉한다고 한다. http://me2.do/Gkig6RJN ,2015-06-15
미스줄리 포스터 존예! 프로파간다 포스터 보고 땡겨서 영화 보는 일도 종종 있다 최근에는 러덜리스에 낚였....(..) pic.twitter.com/jjrgLTORgj,2015-06-15
[전주영화제 JIFF 러덜리스(Rudderless) 리뷰+후기] 난 이 영화를 올해의 음악영화라고 하고 싶다 http://jins3112.blog.me/220392364500 ,2015-06-16
'러덜리스' 내달 9일 개봉…음악영화 열풍 이어갈까? http://fb.me/3JPHezIGz ,2015-06-17
7월 개봉  음악영화 <러덜리스> 국내판 메인 예고편. http://buff.ly/1JSUp7m pic.twitter.com/Xtvhu7vM8x,2015-06-17
제2의 ‘비긴 어게인’ 위플래쉬’를 꿈꾼다! ‘러덜리스’  7월 9일 개봉 확정 http://tenasia.hankyung.com/archives/559878  pic.twitter.com/yO7A2vRXzM,2015-06-17
" 무비파이에스와 [러덜리스]가 함께하는 시사회 이벤트!

""계속 나아가  그게 바로 정답이야""
<비긴 어게인>  <위플래쉬>를 이을 진짜 음악 영화가 온다!

설렘  떨림 그리고 당신을 울릴 4분... http://fb.me/3SB2pDJpL ",2015-06-17
러덜리스에 안톤 옐친 나오네..!! 와.. 안톤이 노래를 불러  밴드도 해  음악 존좋!! pic.twitter.com/wjeGSJGDJY,2015-06-17
윌리엄 H. 머시 연출  음악영화 <러덜리스> 로튼토마토 지수 http://buff.ly/1G2xgZX pic.twitter.com/NK2Vd5DFqP,2015-06-17
[번개공지]영화 러덜리스 시사회 참석 가능하시면~ http://blog.naver.com/fkdnf0808/220392988422 …,2015-06-17
