Date,Frequancy
2016-09-13,53
2016-09-14,54
2016-09-15,44
2016-09-16,42
2016-09-17,53
2016-09-18,48
2016-09-19,54
2016-09-20,40
2016-09-21,49
2016-09-22,61
2016-09-23,40
2016-09-24,46
2016-09-25,39
2016-09-26,60
2016-09-27,40
2016-09-28,41
2016-09-29,53
2016-09-30,41
2016-10-01,47
2016-10-02,68
2016-10-03,50
2016-10-04,55
2016-10-05,43
2016-10-06,53
2016-10-07,42
2016-10-08,50
2016-10-09,46
2016-10-10,76
2016-10-11,73
2016-10-12,43
2016-10-13,38
2016-10-14,47
2016-10-15,58
2016-10-16,56
2016-10-17,45
2016-10-18,39
2016-10-19,46
2016-10-20,39
2016-10-21,39
2016-10-22,51
2016-10-23,45
2016-10-24,45
2016-10-25,57
2016-10-26,41
2016-10-27,53
2016-10-28,37
2016-10-29,36
2016-10-30,41
2016-10-31,40
2016-11-01,52
2016-11-02,40
2016-11-03,43
2016-11-04,47
2016-11-05,54
2016-11-06,40
2016-11-07,44
2016-11-08,43
2016-11-09,36
2016-11-10,40
2016-11-11,40
