Date,Frequancy
2016-02-09,3
2016-02-10,4
2016-02-11,4
2016-02-12,3
2016-02-13,3
2016-02-14,2
2016-02-15,12
2016-02-16,22
2016-02-17,17
2016-02-18,2
2016-02-19,1
2016-02-20,4
2016-02-21,1
2016-02-22,17
2016-02-23,1
2016-02-24,3
2016-02-25,2
2016-02-26,10
2016-02-27,12
2016-02-28,3
2016-02-29,17
2016-03-01,2
2016-03-02,16
2016-03-03,15
2016-03-04,14
2016-03-05,29
2016-03-06,11
2016-03-07,14
2016-03-08,14
2016-03-09,25
2016-03-10,30
2016-03-11,25
2016-03-12,19
2016-03-13,24
2016-03-14,11
2016-03-15,9
2016-03-16,9
2016-03-17,13
2016-03-18,6
2016-03-19,7
2016-03-20,16
2016-03-21,4
2016-03-22,3
2016-03-23,9
2016-03-24,4
2016-03-25,9
2016-03-26,3
2016-03-27,0
2016-03-28,4
2016-03-29,5
2016-03-30,2
2016-03-31,1
2016-04-01,3
2016-04-02,0
2016-04-03,1
2016-04-04,1
2016-04-05,1
2016-04-06,0
2016-04-07,2
2016-04-08,2
