Date,Frequency
2016-05-30,0
2016-05-31,3
2016-06-01,2
2016-06-02,1
2016-06-03,1
2016-06-04,2
2016-06-05,1
2016-06-06,0
2016-06-07,17
2016-06-08,5
2016-06-09,4
2016-06-10,15
2016-06-11,2
2016-06-12,10
2016-06-13,22
2016-06-14,18
2016-06-15,23
2016-06-16,21
2016-06-17,17
2016-06-18,15
2016-06-19,6
2016-06-20,28
2016-06-21,10
2016-06-22,23
2016-06-23,21
2016-06-24,15
2016-06-25,19
2016-06-26,27
2016-06-27,28
2016-06-28,47
2016-06-29,34
2016-06-30,32
2016-07-01,28
2016-07-02,36
2016-07-03,34
2016-07-04,20
2016-07-05,21
2016-07-06,19
2016-07-07,18
2016-07-08,13
2016-07-09,13
2016-07-10,14
2016-07-11,12
2016-07-12,22
2016-07-13,10
2016-07-14,3
2016-07-15,6
2016-07-16,4
2016-07-17,2
2016-07-18,1
2016-07-19,2
2016-07-20,2
2016-07-21,1
2016-07-22,2
2016-07-23,1
2016-07-24,3
2016-07-25,5
2016-07-26,0
2016-07-27,4
2016-07-28,2
