contents,date
드디어 온다. 밀림의 레전드 그가... <레전드 오브 타잔 (The Legend of Tarzan)> http://movietok.kr/220723715657 ,2016-05-31
"라이온킹/타잔 메이플스토리 그랜드체이스 마영전 던전스트라이크 리그오브레전드 심즈3 포탈2 심시티 돈스타브
새로 시작하는거 정착 잘 못하고 회귀하는 편.....
#본인이_거쳐온_게임들을_말해보자",2016-05-31
레전드오브타잔 예고편을 보았다. 하지만 타잔의 무비가 얼마나고퀄로나오든지간에 '타잔이십원짜리 팬티를입고 이십원짜리칼을차고 노래를 한다 아아아!!' 밖에 생각안날듯...,2016-05-31
레전드 오브 타잔 http://oneringtrailers.com?m=100584oneringtrailers.com/?m=100584  http://youtu.be/NvUMI_ccOWQ  • 국내: 2016-06-30,2016-06-01
레전드 오브 타잔 (The Legend of Tarzan) 새 포스터 http://bit.ly/1PkDOxp ,2016-06-01
알렉산더 스카스가드 주연 <레전드 오브 타잔> IMAX 포스터 http://buff.ly/1r3bYKx pic.twitter.com/bZFvg18BcC,2016-06-02
"6월 볼 예정이거나 아직 볼까말까 생각중인 영화 목록.
6.9 정글북
6.22 인디펜던스 리써전스
6.23 크리미널
6.23 서프러제트
6.29 레전드 오브 타잔",2016-06-03
레전드 오브 타잔 http://oneringtrailers.com?m=100584oneringtrailers.com/?m=100584  http://youtu.be/NvUMI_ccOWQ  • 국내: 2016-06-29,2016-06-04
아니 레전드 오브 타잔 알렉스 스카스가드 나오냐,2016-06-04
레전드 오브 타잔 http://oneringtrailers.com?m=100584oneringtrailers.com/?m=100584  http://youtu.be/MBFk5_NeWGg  • 국내: 2016-06-29,2016-06-05
"http://tvcast.naver.com/v/916628 
#레전드오브타잔_미션 
너무나 기다린 영화 #레전드_오브_타잔...
강렬한 정글액션으로 찾아왔네요.
너무나 기대되고 빨리 보고 싶어요.",2016-06-07
"http://tvcast.naver.com/v/799285 
레전드오브 타잔
#레전드오브타잔_미션",2016-06-07
"http://tvcast.naver.com/v/916628# 레전드오브타잔_미션
쵝오!!!  꼭 3D 혹은 4D 영화관에서 꼭 보고싶습니다^^",2016-06-07
<레전드 오브 타잔> 최신 예고편 http://buff.ly/1RVrQoa pic.twitter.com/AhNDedBLMC,2016-06-07
레전드 오브 타잔  파이널 예고편 공개 - 시사위크 http://fb.me/83uVRDoTu ,2016-06-07
"<#레전드오브타잔> 파이널 예고편 공유 이벤트

눈을 뗄 수 없는 강렬함
밀림의 전설  그가 돌아왔다!

해리포터 시리즈 감독의 #밀림 #액션 #블록버스터
<레전드 오브 타잔> 파이널 예고편을... http://fb.me/4yoiX2cYG ",2016-06-07
[레전드 오브 타잔] 네이버 메인에 뜬 레전드 오브 타잔의 배너입니다. 타잔도 새롭게 만들어져서 개봉합니다. http://blog.naver.com/artgihun/220729872877 …,2016-06-07
<무비프리 시사회 이벤트> 레전드 오브 타잔  The Legend of Tarzan 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/AgtEk8QuIM,2016-06-07
알렉산더 스카스가드  마고 로비의 <레전드 오브 타잔> 국내판 파이널 예고편 http://buff.ly/1Obf76m pic.twitter.com/c2euWyPU4r,2016-06-07
#레전드오브타잔 http://tvcast.naver.com/v/916628 ,2016-06-07
#레전드오브타잔_미션 http://tvcast.naver.com/v/916628 ,2016-06-07
"http://tvcast.naver.com/v/916628 
#레전드오브타잔_미션",2016-06-07
"http://tvcast.naver.com/v/916628 
#레전드오브타잔_미션",2016-06-07
<무비프리 시사회 이벤트> 레전드 오브 타잔  The Legend of Tarzan 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/RhMU0l3xgD,2016-06-07
<레전드 오브 타잔> 파이널 예고편 http://tvcast.naver.com/v/916628 ,2016-06-07
http://tvcast.naver.com/v/799285  #레전드오브타잔_미션,2016-06-07
http://tvcast.naver.com/v/799285  #레전드오브타잔_미션,2016-06-07
[레전드 오브 타잔] 파이널 예고편: http://youtu.be/aBVx23eEir0?a  (@YouTube),2016-06-08
 레전드 오브 타잔 The Legend of Tarzan http://blog.naver.com/jade104/220731314893 …,2016-06-08
<무비프리 시사회 이벤트> 레전드 오브 타잔  The Legend of Tarzan 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/MV4sdcvKKx,2016-06-08
"http://tvcast.naver.com/v/916628 
#레전드타잔오브_미션 #레전드오브타잔",2016-06-08
http://tvcast.naver.com/v/916628  #레전드오브타잔_미션,2016-06-08
"""타잔이 엘사 동생?"" <레전드 오브 타잔> ""타잔 백과 사전"" http://buff.ly/1tboWav  pic.twitter.com/K6PrJGX5lo",2016-06-09
레전드 오브 타잔...? 무슨 타잔을 비스트마스터로 만들어놨어,2016-06-09
<무비프리 시사회 이벤트> 레전드 오브 타잔  The Legend of Tarzan 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/1RijWDP547,2016-06-09
http://tvcast.naver.com/v/916628  #레전드오브타잔_미션,2016-06-09
"할리우드 최고 섹시스타의 만남!
#트루블러드 #배틀쉽 알렉산더 스카스가드
& #수어사이드스쿼드 #할리퀸 마고 로비

최강 몸짱 커플 탄생으로 새로운 모습을 확인하세요
#레전드오브타잔
#알렉산더스카스가드... http://fb.me/DWDSoVXe ",2016-06-10
<무비프리 시사회 이벤트> 레전드 오브 타잔  The Legend of Tarzan 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/Fp10RsIM92,2016-06-10
<레전드 오브 타잔> 배우 알렉산더 스카스가드  일본 방문. 현지 인터뷰 번역. http://buff.ly/1XdgZOr pic.twitter.com/4cGLT1h1LC,2016-06-10
[#레전드오브타잔_미션]http://tvcast.naver.com/v/916628 ,2016-06-10
<무비프리 시사회 이벤트> 레전드 오브 타잔  The Legend of Tarzan 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/E5GcKAPVEl,2016-06-10
<무비프리 시사회 이벤트> 레전드 오브 타잔  The Legend of Tarzan 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이.. http://app.moviepre.co.kr  pic.twitter.com/s5cS6HPyhX,2016-06-10
