Date,Frequancy
2015-11-10,53
2015-11-11,51
2015-11-12,55
2015-11-13,53
2015-11-14,38
2015-11-15,46
2015-11-16,46
2015-11-17,47
2015-11-18,36
2015-11-19,41
2015-11-20,43
2015-11-21,40
2015-11-22,58
2015-11-23,50
2015-11-24,42
2015-11-25,40
2015-11-26,41
2015-11-27,57
2015-11-28,55
2015-11-29,41
2015-11-30,37
2015-12-01,39
2015-12-02,44
2015-12-03,42
2015-12-04,48
2015-12-05,38
2015-12-06,41
2015-12-07,38
2015-12-08,38
2015-12-09,55
2015-12-10,39
2015-12-11,45
2015-12-12,51
2015-12-13,49
2015-12-14,51
2015-12-15,52
2015-12-16,54
2015-12-17,37
2015-12-18,36
2015-12-19,54
2015-12-20,54
2015-12-21,38
2015-12-22,51
2015-12-23,38
2015-12-24,48
2015-12-25,47
2015-12-26,38
2015-12-27,41
2015-12-28,44
2015-12-29,46
2015-12-30,39
2015-12-31,52
2016-01-01,48
2016-01-02,43
2016-01-03,48
2016-01-04,40
2016-01-05,45
2016-01-06,39
2016-01-07,41
2016-01-08,44
