contents,date
한번씩 꺼내보는 토우야 전설은 아니고 레전드짤 pic.twitter.com/tnwedgah3a,2015-11-10
레전드 한 달 남았어요!! 끼야ㅇ앙아ㅏ아아ㅏ pic.twitter.com/eG6b18ur9D,2015-11-10
'두시탈출 컬투쇼' 레전드 사연 10선  http://www.wikitree.co.kr/main/news_view.php?id=239023 … #컬투쇼pic.twitter.com/5FQgq15JwI,2015-11-10
케이블 방송 레전드 '약간 더 위험한 방송' 에피소드 10개 http://www.wikitree.co.kr/main/news_view.php?id=239018 … #약간더위험한방송pic.twitter.com/pPxuaq1nhP,2015-11-10
"[코스트릿] 하유님이 리그오브 레전드에서의 불의 축제 엘리스를 코스프레 해주셨습니다!
정말 멋지셨어요!
보러가기 > http://goo.gl/9sCaop 
#코스트릿 #북코페 #할로북코페 pic.twitter.com/49UmU5vxij",2015-11-10
다프트 펑크의 레전드 트랙들을 스크린에서 만날 수 있는 <에덴: 로스트 인 뮤직>은 상상마당 시네마에서 절찬상영중! http://tvpot.daum.net/v/v937cd6zz6z6LhjdDzCriF6 …pic.twitter.com/b0YwY7UkHL,2015-11-10
【オリジナル曲PV】clock lock works【初音ミク】 (4:21) http://nico.ms/sm8933166  #sm8933166 레전드 ㅎ,2015-11-10
"https://youtu.be/xZAvsv93ZFM 

사실상 여싱 쇼트계 전설의 레전드  음악의 엇박을 놓치지 않게끔 짜여진 극악무도한 난이도의 스텝시퀀스를 괴물처럼 소화하는 깡패를 감상하십시오.",2015-11-10
"#레전드 메인 예고편 공개이벤트 당첨자를 발표합니다!

이벤트에 응모해주신 모든 분들께 감사드립니다 :)
당첨되신 분들은 11/20(금)까지 성함/연락처를 메시지로 보내주세요! 기간 내 메시지를 보내지... http://fb.me/4gteot4bM ",2015-11-10
[더스타] '송곳' 지현우  흡입력 넘치는 연기로 매회 레전드 갱신 http://bit.ly/1HsYwr1 ,2015-11-10
폰갤러리 보다가 새삼 크리스 셰필드가 너무 잘생겨서 깜놀함 이 사진은 진짜 레전드야ㅜㅜㅜㅜㅜ pic.twitter.com/IwyBaShUae,2015-11-10
"11월11일은 ㅃㅃㄹ데이가 아니라 우리의 먹을거리를 책임지고 있는 '농업인의 날'이자 한국 프로야구의 레전드 '최동원의 날'입니다
한낱 제과회사의 마케팅의 희생양이 되지도 말고
상술에 놀아나거나 속지도 맙시다 pic.twitter.com/K8Oeo8ut0T",2015-11-10
‘송곳’ 지현우  배우가치 재입증 “호연 속 매회가 레전드” (출처 : TV리포트 | 네이버 TV연예) http://me2.do/xaKkraQs ,2015-11-10
'송곳' 지현우  매회 레전드 갱신 중?..시청자를 파고들다 | 다음 연예 http://media.daum.net/v/20151110134812105?f=m …,2015-11-10
다즐링 레드가 레전드 중 하나이긴 함 pic.twitter.com/jDAp3J4jRl,2015-11-10
"#힐링캠프 레전드 #신승훈 을 태어나서 처음 본 중학생.swf #김건모_서태지는알지만_신승훈은모른다는 #단호박중학생 #신승훈을이제야알았다
https://amp.twimg.com/v/073f6129-9db7-4279-9add-7f6aed06dd25 …",2015-11-10
"리그오브레전드 시즌 5가 오늘 종료 됩니다.
http://www.innomart.co.kr/src/products/products_detail.php?&product_mst_id=1433_00016 …
모두 이번 시즌 수고 하셨습니다. pic.twitter.com/g2yE7u6X69",2015-11-10
'송곳' 지현우  매회 레전드 갱신 '연기 호평' (출처 : 한국경제 | 네이버 뉴스) http://me2.do/FE6YcywM ,2015-11-10
이때 레전드를 찍으셨다고... pic.twitter.com/uXD807LmS0,2015-11-10
@jinhancoffee 그쳐그쳐ㅋㅋ 일주일간 못본다고 레전드 찍어주고 가셨... 재밌게 보시고 굿밤되세용 뿅!,2015-11-10
『 우파 토론왕 김진 레전드 .swf 』 #백수넷  http://backsu.net/327386  #우파 #토론왕 #김진 #레전드 #swf #김진,2015-11-10
"´송곳´ 지현우  흡입력 넘치는 연기로 매회 레전드 갱신 http://chosun.com/tw/?id=thestar*2015111002171 …
#송곳 #지현우",2015-11-10
"오늘 몬스트럼 또 레전드편 찍었다.
초스피드 공략 가신다더니 한시간 반 동안ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어깡이 스팀 능욕도 좋았구요 ㅇ0ㅇ)d 말이 필요 없던 편 오늘꺼 편집하지 말고 다 내보냈으면 좋겠다.ㅋㅋㅋㅋ pic.twitter.com/5NnyDqFXjR",2015-11-10
이거 석준이 레전드짤인거같다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다시봐도웃ㄱ네,2015-11-10
@litchi_cg 아ㅏ아아아아아아악 아웃사이더는 진짜 ㅜㅜㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 개씹레전드 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ후에에ㅔ에엥ㅇㅇ pic.twitter.com/qJoQ7jCOIG,2015-11-10
강정호 팬싸인회 레전드 @purity_sxxt pic.twitter.com/7xEFC7eDab,2015-11-10
@li_na9509 메이드는 역시 레전드 오브 레전드 같아,2015-11-10
ㅁㅈ 무면이 진짜 저 장면 전설의 레전드 보면서 소름 돋았음,2015-11-10
다시 보는 레전드 《와갤러 vs 애갤러》 https://youtu.be/_GcyaQ2OeEE  @YouTube 님이 공유,2015-11-10
@lover_BnH 이 짤은 하루에 한번씩 볼것.. ㅠㅠ 레전드 벽짤 하나 더 탄생햇오요 ,2015-11-10
'두시탈출 컬투쇼' 레전드 사연 10선 http://fb.me/1Wlag9VLH ,2015-11-10
'송곳' 지현우  매회 레전드 갱신 중?..시청자를 파고들다 | 다음 연예 http://media.daum.net/v/20151110134812105?f=m …,2015-11-10
"'송곳' 지현우  배우가치 재입증 ""호연 속 매회가 레전드"" | 다음 연예 http://media.daum.net/v/20151110134736064?f=m …",2015-11-10
@es_15_ 레전드 12/10 개봉 해요,2015-11-10
"롯데리아 레전드는 라이스버거지... 끄더억... 
롯데리아~~ 라이스~버거~~",2015-11-10
자기는 레전드무 몬만든다고 업그레이드 해주지말라는얘들이 보이네ㅋㅋㅋㅋ,2015-11-10
"레전드 뉴스 방송사고 
http://facecstar.net/?p=7377 pic.twitter.com/wl4FsRZFqX",2015-11-10
내 유니크 페르무가 내일 패치가 끝나고 개인트스200개+길드트스80개 보상이 들어오면 이제 레전드다! 나도 극대화작해서 토르 들고다닐거야 하앍...근데 페르랑 영원한 작별 바이바이는 아니겠..지?ㅠㅠㅠㅠ pic.twitter.com/eJTuCmLVXp,2015-11-10
일본 몰카 레전드 ㅋㅋㅋㅋㅋㅋㅋ https://youtu.be/AFjMmQI6qUQ  @YouTube 님이 공유,2015-11-10
<무비프리 시사회 이벤트> 레전드  Legend 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시면 시사회 예매권을 드.. http://app.moviepre.co.kr  pic.twitter.com/cZFyz27Glf,2015-11-10
"불후의명곡 레전드로 지오디가 나오다니!!!!!!! 대박!!!!!!!
울애들 지오디편에 출연했음좋겠는데ㅠㅠㅠ",2015-11-10
