Date,Frequency
2016-12-26,1
2016-12-27,7
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,1
2017-01-01,0
2017-01-02,19
2017-01-03,6
2017-01-04,8
2017-01-05,4
2017-01-06,9
2017-01-07,1
2017-01-08,12
2017-01-09,15
2017-01-10,16
2017-01-11,11
2017-01-12,14
2017-01-13,32
2017-01-14,29
2017-01-15,14
2017-01-16,12
2017-01-17,26
2017-01-18,4
2017-01-19,12
2017-01-20,17
2017-01-21,19
2017-01-22,18
2017-01-23,11
2017-01-24,24
2017-01-25,33
2017-01-26,24
2017-01-27,26
2017-01-28,23
2017-01-29,17
2017-01-30,9
2017-01-31,17
2017-02-01,9
2017-02-02,10
2017-02-03,18
2017-02-04,6
2017-02-05,4
2017-02-06,6
2017-02-07,1
2017-02-08,1
2017-02-09,1
2017-02-10,1
2017-02-11,2
2017-02-12,3
2017-02-13,0
2017-02-14,5
2017-02-15,4
2017-02-16,0
2017-02-17,0
2017-02-18,2
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,1
