contents,date
"꾀꼴내배우♡JG~♡ @JGshock
☆레지던트 이블 6; 파멸의 날☆ 일본 프로모션

 '레지던트 이블' 시리즈의 감독 -W.S 앤더슨 감독- 대한민국 배우 이준기에게… https://www.instagram.com/p/BOeYjIvDcFU/ ",2016-12-26
레지던트 이블: 파멸의 날 (출처 : 네이버 영화) http://naver.me/FHNCnKIN ,2016-12-27
"[이준기] 레지던트 이블: 파멸의 날
한국 개봉 날짜 : 2017.01.26
http://m.movie.naver.com/movie/bi/mi/basic.nhn?code=110333 … pic.twitter.com/LSCoRxpEQe",2016-12-27
"2017.1.26(목) 설연휴 전날일세!! #이준기 #LeeJoonGi 특별출연 #ResidentEvil : The막장!  
레지던트 이블: 파멸의 날 포토 :: 네이버영화 (출처 : 네이버 영화) http://naver.me/5fRcFsdN ",2016-12-27
"레지던트 이블: 파멸의 날
출처 : 네이버 영화
 http://me2.do/G3bx7nUa 
드뎌 개봉일 잡혔구낭#바이오헤자드 #레블6
#파이널챕터 #밀라요보비치
#이준기 #커멘더리pic.twitter.com/HOONN7a9qB",2016-12-27
"@JGshock 23일에 일분에서 
<레지던트 이블: 파멸의 날>을 봤습니다.오빠가 너무 멋있어요!#이준기pic.twitter.com/5HlC8gSqP9",2016-12-27
"http://movie.naver.com/movie/bi/mi/basic.nhn?code=110333# …
레지던트 이블: 파멸의 날　バイオハザード
Resident Evil: The Final Chapter  2017",2016-12-27
레지던트 이블: 파멸의 날 http://oneringtrailers.com?m=100676oneringtrailers.com/?m=100676  http://youtu.be/qBgiXTdvsPY  • 국내: 2017-01-26,2016-12-27
"[외화 더빙 정보]
공개중(일본 전세계 최속)
바이오해저드: 더 파이널(한국명 레지던트 이블: 파멸의 날)
추 사령관(이준기 분)

[나레이션 정보]
1/1 10:00~ NHK 「그랬구나! 클래시카로이드",2016-12-31
˙레지던트 이블:파멸의 날˙  이준기는 얼마나 나올까? (출처 : SBS funE | 네이버 TV연예) http://naver.me/5d6EyfCa  http://fb.me/1GOYP4r5f ,2017-01-02
밀라 요보비치의 <레지던트 이블: 파멸의 날> 국내판 메인 포스터 공개 http://buff.ly/2hEmIdR pic.twitter.com/kioiiEDeRY,2017-01-02
레지던트 이블: 파멸의 날 http://oneringtrailers.com?m=100676oneringtrailers.com/?m=100676  http://youtu.be/969L9ODuB_M  • 국내: 2017-01-25,2017-01-02
"‘레지던트 이블: 파멸의 날’ 밀라요보비치-폴앤더슨  13일 첫 내한 확정 ‘관심↑’
http://me2.do/x6ldZx9G  밀라 요보비치와 폴 앤더슨 감독은 각별한 인연으로 특별 출연한 배우 이준기와 함께 동행할 것으로 더욱 기대를 모으고 있다. pic.twitter.com/hx4mawZ4P3",2017-01-02
"이준기 출연 ‘레지던트 이블:파멸의 날’  1월 25일 개봉
(출처:마이데일리|네이버 TV연예)

#이준기 #LeeJoongi #イ・ジュンギ #李准基
#ResidentEvilTheFinalChapter
. 
http://naver.me/x4oec3Hd ",2017-01-02
이준기 출연 ‘레지던트 이블:파멸의 날’ http://me2.do/5Ke0SlVu  무엇보다 이 영화는 이준기의 특별출연으로 관심을 집중시키고 있다. 태권도 유단자인 이준기는 이 영화에서 화려한 액션으로 눈길을 사로잡을 전망이다.pic.twitter.com/xnTIJ3ybrA,2017-01-02
"'레지던트이블' 측 ""13일 밀라 요보비치 내한..이준기와 조우"" (공식입장) - [스포츠조선 조지영 기자] 할리우드 스타 밀라 요보비치가 오는 13일 국내 팬들을 만난다.'레지던트 이블: 파멸의 날... http://ow.ly/ZVNM5087Zyr ",2017-01-02
'레지던트 이블: 파멸의 날' 밀라 요보비치-폴 앤더슨 감독  첫 내한 확정 http://www.speconomy.com/news/articleView.html?idxno=77247 …,2017-01-02
[레지던트 이블 파멸의 날] 레지던트이블 파멸의 날 포스터입니다. (출처 :  괴수의왕 .. | http://blog.naver.com/artgihun/220901228317 … 블로그) http://naver.me/FbQXqvDn ,2017-01-02
"[이슈&톡] 밀라 요보비치-폴 앤더슨 첫 내한 확정  그리고 이준기

http://v.media.daum.net/v/20170102192924794 …

본격 시작된 '레지던트 이블:파멸의 날' 행사 일정에서 세계적 배우&감독과 함께 어깨를 나란히 할 이준기의 모습은 충분히 기대되는 요소다",2017-01-02
[더코리아뉴스] 배순민 기자 = 레지던트 이블 : 파멸의 날  밀라 요보비치 13일 특별한 인연 이준기와 함께 국내 레드카펫 입성 예고 http://thekoreanews.com//detail.php?number=37678 …,2017-01-02
"'레지던트 이블:파멸의 날'  이준기는 얼마나 나올까? (출처 : SBS funE | 네이버 TV연예) http://naver.me/Fpz9x3HY 

日本語OKです
イジュンギはどのくらいの出演か？

#이준기 #leejoongi #イジュンギ pic.twitter.com/ys3qmNzawI",2017-01-02
やっぱり韓国版ポスターはパステル画調だ。 이준기 출연 ‘레지던트 이블:파멸의 날’  1월 25일 개봉 by 마이데일리 http://entertain.naver.com/read?oid=117&aid=0002859583 …pic.twitter.com/ic9VAG1rOA,2017-01-02
"'레지던트 이블:파멸의 날'  이준기는 얼마나 나올까? (출처 : SBS funE | 네이버 TV연예) http://naver.me/IFZ7GUsB 
'レジデント・エヴィル:破滅の日'、イジュンギはどのくらい出てくるのか。",2017-01-02
【이준기 출연 ‘레지던트 이블:파멸의 날’  1월 25일 개봉 (출처 : 마이데일리 | 네이버 TV연예) http://naver.me/50kD65P8   】#actor_jg #李准基 #이준기 #生化危机6李准基pic.twitter.com/i9Ca4BKNcm,2017-01-02
‘레지던트 이블: 파멸의 날’ 밀라요보비치-폴앤더슨  13일 첫 내한 확정 ‘관심↑’ / 브레이크뉴스  http://www.breaknews.com/483058 ,2017-01-02
'레지던트 이블:파멸의 날'  이준기는 얼마나 나올까? http://sbsfune.sbs.co.kr/news/news_content.jsp?article_id=E10008272632&pcversion …「バイオハザード：破滅の日」、イ・ジュンギはどのくらい出るか？,2017-01-02
"イ・ジュンギ出演'バイオハザード:破滅の日'、1月25日封切り　　　　
이준기 출연 ‘레지던트 이블:파멸의 날’  1월 25일 개봉 (출처 : 마이데일리 | 네이버 TV연예) http://naver.me/56pkeya5 ",2017-01-02
"이준기 출연 ‘레지던트 이블:파멸의 날’  1월 25일 개봉

http://naver.me/56pkeya5 

이 영화는 이준기의 특별출연으로 관심을 집중시키고 있다.

태권도 유단자인 이준기는 이 영화에서 화려한 액션으로 눈길을 사로잡을 전망이다.",2017-01-02
이준기 출연 ‘레지던트 이블:파멸의 날’  1월 25일 개봉 http://fb.me/18MuevKAD ,2017-01-03
"<레지던트 이블: 파멸의 날> 밀라 요보비치X폴 앤더슨 감독 첫 내한 확정.. 1월 13일(금) 이준기와 함께 레드카펫 선다!

http://blog.naver.com/cinemaplus/220900894765 … pic.twitter.com/PNQpa2CBUq",2017-01-03
소니 픽처스 코리아 페북에 올라온 레지던트 이블 파멸의 날- 밀라 요보비치&폴 앤더슨 감독 내한 확정글. 13일엔 이준기 배우와 함께 레드카펫이 있을 예정으로 장소 및 세부내용은 추후 공지라고.. https://www.facebook.com/Sonypictureskr/videos/1361975447156322/ … pic.twitter.com/6nrv1o0Gaz,2017-01-03
"1/13(금) 밀라 요보비치  폴 앤더슨 감독 참석 '레지던트 이블:파멸의 날' 레드 카펫 예정. 밀라를 한국에서 볼 수 있는 것인가! 
https://m.facebook.com/story.php?story_fbid=1361975447156322&id=376679229019287 … pic.twitter.com/OHLekb4eCl",2017-01-03
"2017.01.25 
영화 <레지던트 이블: 파멸의 날> 개봉
Resident Evil: The Final Chapter release in korea 
http://www.leejoongi.co.kr/as/bbs/board.php?bo_table=schedule …
#이준기 #LeeJoonGi #イ・ジュンギ #李準基pic.twitter.com/pohYNC6uqN",2017-01-03
