Date,Frequency
2017-01-30,41
2017-01-31,91
2017-02-01,41
2017-02-02,66
2017-02-03,56
2017-02-04,41
2017-02-05,56
2017-02-06,55
2017-02-07,40
2017-02-08,39
2017-02-09,68
2017-02-10,42
2017-02-11,40
2017-02-12,63
2017-02-13,56
2017-02-14,68
2017-02-15,41
2017-02-16,43
2017-02-17,61
2017-02-18,53
2017-02-19,44
2017-02-20,61
2017-02-21,56
2017-02-22,38
2017-02-23,81
2017-02-24,72
2017-02-25,44
2017-02-26,56
2017-02-27,50
2017-02-28,91
2017-03-01,20
2017-03-02,40
2017-03-03,59
2017-03-04,20
2017-03-05,20
2017-03-06,40
2017-03-07,20
2017-03-08,40
2017-03-09,20
2017-03-10,39
2017-03-11,20
2017-03-12,20
2017-03-13,40
2017-03-14,20
2017-03-15,20
2017-03-16,37
2017-03-17,54
2017-03-18,52
2017-03-19,20
2017-03-20,37
2017-03-21,46
2017-03-22,37
2017-03-23,36
2017-03-24,38
2017-03-25,33
2017-03-26,20
2017-03-27,36
2017-03-28,34
2017-03-29,28
2017-03-30,35
