Date,Frequency
2016-11-28,4
2016-11-29,6
2016-11-30,5
2016-12-01,4
2016-12-02,4
2016-12-03,1
2016-12-04,2
2016-12-05,7
2016-12-06,6
2016-12-07,6
2016-12-08,8
2016-12-09,10
2016-12-10,3
2016-12-11,11
2016-12-12,17
2016-12-13,7
2016-12-14,8
2016-12-15,4
2016-12-16,3
2016-12-17,4
2016-12-18,9
2016-12-19,19
2016-12-20,11
2016-12-21,28
2016-12-22,23
2016-12-23,17
2016-12-24,9
2016-12-25,7
2016-12-26,25
2016-12-27,27
2016-12-28,36
2016-12-29,34
2016-12-30,37
2016-12-31,44
2017-01-01,38
2017-01-02,32
2017-01-03,26
2017-01-04,38
2017-01-05,39
2017-01-06,36
2017-01-07,34
2017-01-08,31
2017-01-09,38
2017-01-10,9
2017-01-11,12
2017-01-12,11
2017-01-13,3
2017-01-14,3
2017-01-15,7
2017-01-16,1
2017-01-17,2
2017-01-18,4
2017-01-19,1
2017-01-20,1
2017-01-21,1
2017-01-22,3
2017-01-23,5
2017-01-24,2
2017-01-25,2
2017-01-26,1
