contents,date
로그원: 스타워즈 스토리 메인 예고편 https://www.youtube.com/watch?v=l8BpJ8vBDZI&feature=share …,2016-11-28
<로그 원: 스타워즈 스토리> 공식 블로그에 견자단 소개글을 올렸습니다 :) http://jins3112.blog.me/220873115094 ,2016-11-28
한국독점 영상 '로그원 스타워즈 스토리' TLRC 겨울대개봉: http://youtu.be/8tM8eaRJVbM?a  (@YouTube),2016-11-28
동영상을 @YouTube 재생목록 http://youtu.be/8tM8eaRJVbM?a  한국독점 영상 '로그원 스타워즈 스토리' TLRC,2016-11-28
로그 원 : 스타워즈 스토리 - 줄거리  캐릭터 소개 와 예고편 (출처 : The Fort.. | http://blog.naver.com/kal_el_/220873941557 … 블로그) http://naver.me/GfUcu4yV ,2016-11-29
[ 로그 원 스타워즈 스토리 ] 뉴  비하인드신 피쳐렛 & 캐릭터사진들 http://extmovie.maxmovie.com/xe/15857708?l=ko …pic.twitter.com/5JZ5mXfG1z,2016-11-29
[ 로그 원 스타워즈 스토리 ] 북미 첫날 티켓예매 오픈 수분만에 수십만장 기록 http://extmovie.maxmovie.com/xe/15866550?l=ko …,2016-11-29
[로그원 스타워즈 스토리 ] 건대롯데시네마에서 본 로그원 스타워즈 스토리 의 POP입니다. (출처 :  괴수의왕 .. | http://blog.naver.com/artgihun/220874011808 … 블로그) http://naver.me/xUKcUpfs ,2016-11-29
"챙겨볼 12월 개봉영화

라라랜드
나  다니엘 블레이크
마스터
우리 손자 베스트
커튼콜 
아브릴과 조작된 세계
매드맥스
씽 
로그 원 : 스타워즈 스토리

편수는 전월에 비해 적은 편인데 기대작은 많다",2016-11-29
[ 로그 원 스타워즈 스토리 ] 북미 일부극장 70미리 IMAX프로젝션 상영예정  울트라와이드스크린 화면비교 http://extmovie.maxmovie.com/xe/15866352?l=ko …pic.twitter.com/xlYJwm03mg,2016-11-29
"[ 로그 원 스타워즈 스토리 ] 캐스린 케네디  ""시퀄은 없다."" 고 컨펌 http://extmovie.maxmovie.com/xe/15878802?l=ko …",2016-11-30
"시각효과상
'정글북' 50-?-50
'로그 원: 스타워즈 스토리' 38-?-38
'컨택트' 24-?-23
'패신저스' 19-?-16
'닥터 스트레인지' 순위 외-8",2016-11-30
"음향상
'라라랜드' 41-?-50
'컨택트' 31-?-30
'빌리 린스 롱 하프타임 워크' 44-?-29
'사일런스' 18-?-18
'로그 원: 스타워즈 스토리' 9-?-10",2016-11-30
"음향편집상
'빌리 린스 롱 하프타임 워크' 48-?-37
'컨택트' 32-?-36
'로그 원: 스타워즈 스토리' 30-?-34
'설리: 허드슨강의 기적' 19-?-27
'핵소 고지' 순위 외-5",2016-11-30
"12월 개봉작:
라라랜드
내 심장이 건너뛴 박동
시카고
로그 원: 스타워즈 스토리",2016-11-30
[ #Tistory ] 로그원 스타워즈 스토리 북미 사전예매 신기록 작성 http://staringossip.tistory.com/71 ,2016-12-01
‘로그 원: 스타워즈 스토리’  북미 사전 예매율 최고 기록 갱신 ‘기대감↑’ / 브레이크뉴스  http://www.breaknews.com/477170 ,2016-12-01
"[리뷰를 구하라]&lt;로그 원: 스타워즈 스토리&gt;관람 이벤트[~12/25]
http://naver.me/Fuj8GCt8 
출처 : 리뷰를 구하라 ♬ 영화 시사회 공연 이벤트 | 네이버 카페",2016-12-01
"'로그원:스타워즈 스토리' 클립 영상. 진 어소(펠리시티 존스) 멋지다 #로그원 개봉 기다리기 힘들다. 
https://youtu.be/gMmmN3ey1YE 
#RogueOne #StarWars
#JynErso #K2SOpic.twitter.com/fUyD6qj9qm",2016-12-01
"HIGHGRND X STARWARS

디즈니를 감동시킨 ‘덕.심.충.만’
하이그라운드 아티스트들이 직접 연재하는 스타워즈 스토리!
‘스타워즈 로그원 블로그’에서 만나요
http://bit.ly/2fYcJm6 
#스타워즈 #HIGHGRNDpic.twitter.com/4mX7IKmTUO",2016-12-02
[더 코리아뉴스] 배순민 기자 = 로그 원: 스타워즈 스토리  하이그라운드와의 다채로운 콜라보레이션! 개봉국 중 6개 국가만 선정 http://thekoreanews.com//detail.php?number=36492 …,2016-12-02
"[리뷰를 구하라]<로그 원: 스타워즈 스토리>관람 이벤트[~12/25] (출처 : 리뷰를 구하라 ♬ 영화 시사회 공연 이벤트 | 네이버 카페) http://naver.me/Fia14ocU 
#리뷰를구하라 #로그원스타워즈스토리이벤트",2016-12-02
"12월달 볼만한 영화는 '로그 원 : 스타워즈 스토리'밖에 없네 없어...
28일날 개봉인데 언제 기다리냐
2017년이 돼서야 볼 수 있겠구만 pic.twitter.com/qxhAjU8KcU",2016-12-02
[다시보기] 로그 원: 스타워즈 스토리 Rogue One: A Star Wars Story  20161228 http://iee.kr/2016/12/03/%eb%8b%a4%ec%8b%9c%eb%b3%b4%ea%b8%b0-%eb%a1%9c%ea%b7%b8-%ec%9b%90-%ec%8a%a4%ed%83%80%ec%9b%8c%ec%a6%88-%ec%8a%a4%ed%86%a0%eb%a6%ac-rogue-one-a-star-wars-story-20161228/ … pic.twitter.com/3Sm6stgHn3,2016-12-03
"#로그원스타워즈스토리 #RogueOne #RogueOneAStarWarsStory #GoRogue #StarWars #StarWarsMovie
로그원: 스타워즈 스토리 메인 예고편 https://youtu.be/l8BpJ8vBDZI  @YouTube 님이 공유",2016-12-04
엠파이어 매거진 로그 원 스타워즈 스토리 커버의 2017년 1월호. 받아보니 실물 훨씬 이뻐ㅠㅠㅠbbb pic.twitter.com/7PfQ5TPQgR,2016-12-04
[맥스무비 - 영화정보] 로그 원: 스타워즈 스토리 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000097598 …,2016-12-05
[ 로그 원 스타워즈 스토리 ] 28분푸티지 초기반응들 모음 - 폭발적인 액션  K-2SO 칭찬등 (노스포) http://jovovichi.blog.me/220878391014 ,2016-12-05
