Date,Frequancy
2017-05-29,58
2017-05-30,58
2017-05-31,76
2017-06-01,44
2017-06-02,55
2017-06-03,70
2017-06-04,68
2017-06-05,57
2017-06-06,61
2017-06-07,60
2017-06-08,74
2017-06-09,62
2017-06-10,73
2017-06-11,59
2017-06-12,57
2017-06-13,64
2017-06-14,60
2017-06-15,65
2017-06-16,64
2017-06-17,69
2017-06-18,70
2017-06-19,58
2017-06-20,61
2017-06-21,58
2017-06-22,53
2017-06-23,57
2017-06-24,56
2017-06-25,65
2017-06-26,84
2017-06-27,73
2017-06-28,87
2017-06-29,106
2017-06-30,91
2017-07-01,86
2017-07-02,67
2017-07-03,60
2017-07-04,78
2017-07-05,72
2017-07-06,71
2017-07-07,58
2017-07-08,56
2017-07-09,56
2017-07-10,55
2017-07-11,54
2017-07-12,54
2017-07-13,45
2017-07-14,64
2017-07-15,71
2017-07-16,69
2017-07-17,58
2017-07-18,63
2017-07-19,78
2017-07-20,61
2017-07-21,74
2017-07-22,64
2017-07-23,68
2017-07-24,54
2017-07-25,73
2017-07-26,63
2017-07-27,64
