Date,Frequancy
2015-09-08,21
2015-09-09,36
2015-09-10,29
2015-09-11,32
2015-09-12,39
2015-09-13,49
2015-09-14,32
2015-09-15,56
2015-09-16,38
2015-09-17,32
2015-09-18,42
2015-09-19,38
2015-09-20,34
2015-09-21,39
2015-09-22,40
2015-09-23,53
2015-09-24,52
2015-09-25,37
2015-09-26,38
2015-09-27,51
2015-09-28,36
2015-09-29,39
2015-09-30,50
2015-10-01,39
2015-10-02,46
2015-10-03,50
2015-10-04,60
2015-10-05,93
2015-10-06,60
2015-10-07,46
2015-10-08,74
2015-10-09,79
2015-10-10,49
2015-10-11,74
2015-10-12,61
2015-10-13,75
2015-10-14,85
2015-10-15,49
2015-10-16,71
2015-10-17,75
2015-10-18,71
2015-10-19,72
2015-10-20,50
2015-10-21,59
2015-10-22,41
2015-10-23,52
2015-10-24,46
2015-10-25,82
2015-10-26,47
2015-10-27,44
2015-10-28,44
2015-10-29,51
2015-10-30,47
2015-10-31,37
2015-11-01,66
2015-11-02,42
2015-11-03,48
2015-11-04,40
2015-11-05,44
2015-11-06,41
