contents,date
"왓챠에서 준비한 ""마션"" 화성에서 살아남기 이벤트! https://watcha.net/special/martian?utm_source=twitter&utm_medium=referer&utm_campaign=special_martian …",2015-09-08
마션 다 읽었어......,2015-09-08
'마션'  헝가리·영국·요르단부터 美 NASA까지…'압도적 스케일' http://hayan2.blog.me/220475276253 ,2015-09-08
[#사이먼킨버그_사전질문_이벤트] 놓칠 수 없다!! 마션 & 데드풀 프로듀서  엑스맨: 아포칼립스 각본! 흥행공식 사이먼 킨버그에게 세 영화에 관해 궁금했던 점을 물어보세요! 자세한사항은 이미지 참조! pic.twitter.com/nyg4a9I9c5,2015-09-08
"<마션> 리들리 스콧 감독  최고의 비주얼과 휴머니즘에 도전하다! 

 10월 8일 개봉 예정

http://blog.naver.com/cinemaplus/220474938241 …pic.twitter.com/mBSejmxzvM",2015-09-08
영화 '마션' 속 등장 실제 과학기술 9가지…“소변까지 재활용? 진짜?” - http://goo.gl/alerts/BXNX  #GoogleAlerts,2015-09-08
"@jel_uta
마
지
섹
시
레
보
ㄹ
루
션!",2015-09-08
"그래비티
인터스텔라
그리고 
마션!
10월 개봉",2015-09-08
마션 다 읽었는데 뭐하지,2015-09-08
멜론에서 멘날 듣기해넣는거 아핑류 리와인드 콜그레츄레이션 딱좋아 하지하지마 배ㅛ그 러브레토..,2015-09-08
"""마션""

재미있는 책을 읽었다.

인류의 미래

절대적인 절망과 의도적인 희망

과학과 유머의 위대함

그리고  

인간의 무한한 상상력. pic.twitter.com/3WrJvLe2mL",2015-09-08
"곧 개봉을 앞두고 있는 '마션(Martian)' 예고편으로 익히는 새로운 표현입니다!

- (도중귀환)을 할 수 밖에 없었다: We had no choice but to (abort the... http://fb.me/7v48NghsC ",2015-09-08
마션 예고편이나 한번 더 봐야지 헤헤,2015-09-08
10월엔 팬  마션 꼭 봐야지 히히,2015-09-08
동정이 건드렸어요! 더러워졌어요! 첫 상대는 테크니션이 아니면 싫다고요! 그런데도 아라라기 씨라니  제 꿈이 깨졌어요! - 하치쿠지 마요이(바케모노가타리),2015-09-08
영화 #마션 에 등장하는 NASA의 9가지 실제 기술 http://buff.ly/1ituxDS pic.twitter.com/0MY1qVz8tA,2015-09-08
스펠명 : 광부「정화의 마」 Easy - Hard  「컴플리트 클래러피케이션*」 Lunatic / 사용자 : 토라마루 쇼우 / 등장 : 동방성련선 5면 ※clarification : 정화. pic.twitter.com/92l7rkaKFo,2015-09-08
"""포보스가 약간의 달빛을 보내주긴 하지만 일할 수 있을 정도는 아니다. 데이모스라는 위성은 아무짝에도 쓸모가 없다.""
""몇 주 전엔 감자껍질차를 만들어보았다. 그에 대해선 말하지 않는 편이 좋을 것 같다.""
한 마디 한 마디가 유쾌한 #마션",2015-09-08
ㅇ아아아아악ㄱ어님 방송에 머독ㄱ님이 오셔섯ㅅ 별풍 100개 쏘셨ㅅ는데 개리님이 리액ㄱ션 해주샤ㅅ최애님 두분ㄴ이 으악으어기 헉 저 심자어ㄸ그마죠 개리님 좋아 머독님 ㅎ좋아흑ㅎㄱ 미첬ㅅ나봐,2015-09-08
@papillon_MLU 아  여기서 갈아입으려고? (잠시 생각하다 제일 큰 타올을 등 뒤로 들고 펜션 바깥쪽을 향해 보고 몸을 돌려 파피의 반대쪽에 시선을 둔다.) 절대 보지 않으마  다 입으면 말해주렴.,2015-09-08
마션 예고편에 BASED ON A TRUE STORY 집어넣으면 재미있겠군,2015-09-08
