Date,Frequancy
2016-11-21,50
2016-11-22,95
2016-11-23,49
2016-11-24,83
2016-11-25,58
2016-11-26,81
2016-11-27,64
2016-11-28,57
2016-11-29,81
2016-11-30,54
2016-12-01,60
2016-12-02,58
2016-12-03,57
2016-12-04,77
2016-12-05,68
2016-12-06,74
2016-12-07,56
2016-12-08,78
2016-12-09,74
2016-12-10,74
2016-12-11,60
2016-12-12,87
2016-12-13,74
2016-12-14,52
2016-12-15,76
2016-12-16,61
2016-12-17,83
2016-12-18,92
2016-12-19,63
2016-12-20,72
2016-12-21,75
2016-12-22,74
2016-12-23,86
2016-12-24,77
2016-12-25,79
2016-12-26,59
2016-12-27,59
2016-12-28,68
2016-12-29,138
2016-12-30,72
2016-12-31,72
2017-01-01,100
2017-01-02,59
2017-01-03,77
2017-01-04,61
2017-01-05,89
2017-01-06,75
2017-01-07,52
2017-01-08,60
2017-01-09,58
2017-01-10,54
2017-01-11,79
2017-01-12,57
2017-01-13,66
2017-01-14,75
2017-01-15,78
2017-01-16,78
2017-01-17,68
2017-01-18,54
2017-01-19,56
