Date,Frequency
2016-08-15,19
2016-08-16,14
2016-08-17,25
2016-08-18,3
2016-08-19,18
2016-08-20,1
2016-08-21,1
2016-08-22,30
2016-08-23,21
2016-08-24,26
2016-08-25,20
2016-08-26,20
2016-08-27,21
2016-08-28,19
2016-08-29,24
2016-08-30,17
2016-08-31,41
2016-09-01,44
2016-09-02,35
2016-09-03,27
2016-09-04,20
2016-09-05,32
2016-09-06,21
2016-09-07,30
2016-09-08,23
2016-09-09,29
2016-09-10,22
2016-09-11,22
2016-09-12,43
2016-09-13,31
2016-09-14,38
2016-09-15,20
2016-09-16,36
2016-09-17,40
2016-09-18,45
2016-09-19,40
2016-09-20,34
2016-09-21,42
2016-09-22,34
2016-09-23,36
2016-09-24,37
2016-09-25,43
2016-09-26,33
2016-09-27,36
2016-09-28,33
2016-09-29,16
2016-09-30,12
2016-10-01,12
2016-10-02,11
2016-10-03,10
2016-10-04,3
2016-10-05,8
2016-10-06,7
2016-10-07,9
2016-10-08,2
2016-10-09,4
2016-10-10,3
2016-10-11,2
2016-10-12,4
2016-10-13,3
