contents,date
9월 개봉 영화  <매그니피센트7> 메인 포스터 및 2차 예고편 공개 http://blog.naver.com/duddjw1004/220787843529 …,2016-08-15
9월개봉영화 매그니피센트7 추석 볼만한영화 http://blog.naver.com/narawh/220787898588 …,2016-08-15
[매그니피센트 7] 이병헌  헐리웃 진출 최초 정의로운 역할 맡아 http://magazine2.movie.daum.net/movie/38205 ,2016-08-15
이병헌의 '착한 역'… 영화 '매그니피센트 7' 포스터 공개 (출처 : 스포츠월드 | 네이버 TV연예) http://naver.me/5GsOjaiz ,2016-08-15
맷 보머가 출연하는 영화 매그니피센트7의 한국 개봉일이 9월 14일로 정해졌나봅니다!! 북미 개봉일이 9월 23일인데 그보다 훨씬 빠르네요 ~ http://movie.naver.com/movie/bi/mi/basic.nhn?code=136835 … pic.twitter.com/4zRNPx2Q6P,2016-08-15
이병헌 '매그니피센트7' 9월14일 개봉 확정..추석 정조준 http://fb.me/2wWoAeUEh ,2016-08-15
이병헌 드디어 악역 아니다…'매그니피센트7' 9월 14일 개봉 확정 (출처 : TV리포트 | 네이버 TV연예) http://naver.me/GA7jCxXH ,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/4RwvREdr0p,2016-08-15
"<황야의 7인> 리메이크  <매그니피센트 7> 한국판 포스터.
https://www.facebook.com/Sonypictureskr/photos/a.400209879999555.92113.376679229019287/1217448424942359/?type=3 … pic.twitter.com/HnS1T8V0n4",2016-08-15
영화 매그니피센트7의 공식 2차 예고편입니다. 7인이 복수를 위해 찾아가는 마을의 주민으로 나오는 맷 보머는 예고편 영상 18초부터 잠깐 나옵니다. https://youtu.be/u_D0D1PlEC4 ,2016-08-15
"이병헌의 '착한 역'… 영화 '매그니피센트 7' 포스터 공개
출처 : 스포츠월드 | 네이버 TV연예
 http://naver.me/xd5ox884 ",2016-08-15
이병헌 '매그니피센트7' 9월14일 개봉 확정..추석 정조준 | 다음 연예 http://v.media.daum.net/v/20160815090942421?f=m …,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/dlxLwJfg0p,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/pY8ozek2QB,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/SQoUzRRjad,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/jkWAsL27JH,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/lFXVKWlJ3d,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/t9wYD8Tw77,2016-08-15
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/3h7ccigx5m,2016-08-15
매그니피센트7 뭐여 저 미친 라인업은,2016-08-16
아 매그니피센트7 봐야지. 9월 개봉이네,2016-08-16
블록버스터 매그니피센트 7 이병헌 등 7인7색 액션 : http://mediup.co.kr/m/content/board_detail.html?id=free&no=133494 …,2016-08-16
이병헌 서부극 '매그니피센트7'  9월 14일 전세계 최초개봉 | 다음 연예 http://v.media.daum.net/v/20160816082531925?f=m …,2016-08-16
"‘매그니피센트7’  이병헌 효과에 내한까지? ""일정조율 힘들듯"" http://dam25.com/?p=284659 pic.twitter.com/sWuK3eUZP2",2016-08-16
[메디뉴스] 블록버스터 '매그니피센트 7'  이병헌 등 7인7색 액션: [뉴스인] 김영일 기자 = 배우 이병헌이 할리우드 진출 후... http://bit.ly/2bBlfaZ  #병원취업http://medi-talk.co.kr ,2016-08-16
이병헌 '매그니피센트7'  내달 국내서 세계 첫 개봉 - 【서울=뉴시스】손정빈 기자 = 배우 이병헌이 출연한 할리우드 블록버스터 '매니피센트7'(The Magnificent7)(감독 앤턴 후쿠아)이 ... http://ow.ly/al8V503voQ9 ,2016-08-16
"-[영화] 매그니피센트 7 (08월 17일 까지)
참여하기 > Sony Pictures ( http://evnt.ga/2659  )",2016-08-16
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/Gw0549mNjO,2016-08-16
"매그니피센트 7 동영상 :: 네이버영화 (출처 : 네이버 영화) http://naver.me/x0KI8RPS 

이;거슨 또 머신디 크리스프랫이 나오는데 하필 이병헌도 나오고 그르냐",2016-08-16
‘매그니피센트7’ 스틸컷 8종 전격 공개  7인의 무법자들이 펼치는 황야 액션 http://tenasia.hankyung.com/archives/996800 pic.twitter.com/NLrSy6SAMX,2016-08-16
스타트렉팀 내한이후로 내한가능성 있는 팀 살펴보는중에 이병헌씨때문에 가능성 있으려나하던 매그니피센트7 은 UPI에서 국내개봉빠름 배우들일정조절이 힘들다고 기사가.. http://entertain.naver.com/read?oid=109&aid=0003376865 …pic.twitter.com/1frOVys0HV,2016-08-16
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/dvXAiMwQcu,2016-08-16
<무비프리 이벤트> 매그니피센트 7  The Magnificent Seven 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/mKTohCrf4Z,2016-08-16
