Date,Frequancy
2016-12-26,3
2016-12-27,3
2016-12-28,12
2016-12-29,3
2016-12-30,6
2016-12-31,6
2017-01-01,3
2017-01-02,4
2017-01-03,11
2017-01-04,3
2017-01-05,5
2017-01-06,6
2017-01-07,10
2017-01-08,13
2017-01-09,6
2017-01-10,0
2017-01-11,14
2017-01-12,2
2017-01-13,4
2017-01-14,6
2017-01-15,3
2017-01-16,8
2017-01-17,6
2017-01-18,13
2017-01-19,9
2017-01-20,3
2017-01-21,2
2017-01-22,13
2017-01-23,25
2017-01-24,23
2017-01-25,33
2017-01-26,39
2017-01-27,35
2017-01-28,44
2017-01-29,38
2017-01-30,36
2017-01-31,36
2017-02-01,46
2017-02-02,28
2017-02-03,31
2017-02-04,42
2017-02-05,17
2017-02-06,25
2017-02-07,30
2017-02-08,23
2017-02-09,28
2017-02-10,18
2017-02-11,21
2017-02-12,19
2017-02-13,19
2017-02-14,24
2017-02-15,15
2017-02-16,16
2017-02-17,8
2017-02-18,8
2017-02-19,9
2017-02-20,10
2017-02-21,9
2017-02-22,9
2017-02-23,9
