contents,date
[당첨자발표] 설빙과 함께하는 ‘매기스플랜’ 시사회 이벤트 http://fb.me/8ifOn6gQp ,2016-12-26
매기스플랜 시사회 보고싶으신 분 있으면 https://instagram.com/p/BOQy8xmhCdi/  여기에 댓글 다세염!! (부탁 받고 홍보중),2016-12-26
움짤로 봐야 더 귀엽습니다 모두 17년 1월 개봉작 매기스 플랜 보자 에단호크 ㅍ ㅏ자 pic.twitter.com/PaXv7QTVfG,2016-12-26
매기스플랜 기대된다,2016-12-27
"-[영화] 매기스 플랜 (12월 29일 까지)
참여하기 > CGV아트하우스 ( http://evnt.ga/3594  )",2016-12-27
"챙겨 볼 1월 개봉영화

너의 이름은.
패신저스
여교사
녹터널 애니멀스
어쌔신 크리드
얼라이드
7년 - 그들이 없는 언론
모아나
매기스 플랜
신 고질라
재키",2016-12-27
"올겨울  사랑에 빠지고 싶은 뉴욕 로맨스
#매기스플랜 설렘가득 메인 포스터 대공개!

#에단호크  #줄리안무어  #그레타거윅
<매기스 플랜> 2017년 1월 대개봉! http://fb.me/5Gj2TzGhK ",2016-12-28
매기스 플랜 너무 보고싶고 제발 15일 전에 개봉해서 보고 교환갔으면... 예고편도 취저고 초스터도 취저고 캐스팅도 취저야!!!,2016-12-28
@buzowsky 와조님 혹시 소식 보셨나요 매기스 플랜 1월에 개봉한다고 합니다...! pic.twitter.com/V3ryBvfcdk,2016-12-28
레베카 밀러의 매기스 플랜 Maggie's Plan 메인 포스터. 아이는 갖고 싶지만 결혼은 원치 않는 뉴요커 매기가 대학 교수 존과 사랑에 빠진다. 그레타 거윅  에단 호크  줄리안 무어 출연. 1월 개봉. pic.twitter.com/xM3usli1Fs,2016-12-28
매기스 플랜 보고싶다.,2016-12-28
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/Kz3qL0Djva,2016-12-28
"올겨울  사랑에 빠지고 싶은 뉴욕 로맨스
#매기스플랜 설렘가득 메인 포스터 대공개!

#에단호크  #줄리안무어  #그레타거윅
<매기스 플랜> 2017년 1월 대개봉! http://fb.me/15DIt1Qby ",2016-12-28
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/bk7xnIxKzA,2016-12-28
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/Evqy1s1Thi,2016-12-28
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/T0USY4zQ8i,2016-12-28
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/kWPcDkksPG,2016-12-28
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/utxY3PAp0G,2016-12-28
영화 '매기스 플랜' 30초 예고편 (출처 : 서울신문 | 네이버 TV캐스트) http://naver.me/xZ2YXMZ0 ,2016-12-29
에단나오는 매기스플랜 꼭보기 시발 꼭!보!기!!,2016-12-29
매기스 플랜 개봉일 언제 나와...?현기증날것같아 가기전까지 볼 영화 리스트 만드는데 개봉일을 몰라서 초조하다,2016-12-29
영화 ‘매기스 플랜’  “올 겨울  사랑에 빠지고 싶은 뉴욕 로맨스” - 시사위크 http://fb.me/3yVAhGYow ,2016-12-30
매기스 플랜 궁금해 빨리 보고싶다,2016-12-30
#에단호크  #줄리안무어  #그레타거윅2017 첫 번째  감성 뉴욕 로맨스#매기스플랜 감성 촉촉 캐릭터 포스터 공개!  2017년 1월 대개봉! pic.twitter.com/VQY1Cyl1OS,2016-12-30
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/jghxiRyEdX,2016-12-30
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/uvl92AeuFn,2016-12-30
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/ACaiJSckgo,2016-12-30
매기스 플랜 (Maggie's Plan  2015) - 영화: http://youtu.be/GMVAq6wzlTQ?a  (@YouTube),2016-12-31
매기스 플랜 재밌겠다.,2016-12-31
동영상을 @YouTube 재생목록 http://youtu.be/GMVAq6wzlTQ?a  매기스 플랜 (Maggie's Plan  2015) - 영화에 추가했습니다.,2016-12-31
매기스 플랜 수입한 곳에서 문라이트도 수입한 모양이네. 2월 개봉한다고.. 기대기대 pic.twitter.com/UtAXNGAQ2C,2016-12-31
매기스 플랜은 그래서 개봉일자가 1월 언제라는 걸까.,2016-12-31
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/UdpUB25B2P,2016-12-31
"1월 개봉작:

얼라이드
단지 세상의 끝
재키
매기스 플랜
(패신저스)
(너의 이름은.)
(여교사)
(어쌔신 크리드)
(사랑의 시대)
(스노든)
+
빌리 엘리어트
여인의 향기
반지의 제왕 트릴로지",2017-01-01
매기스 플랜 개봉일 제발 15일 전이길...,2017-01-01
<무비프리 이벤트> 매기스 플랜  Maggie's Plan 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/NxtY6xyk08,2017-01-01
매기스 플랜 예매 빨리 좀ㅜ_ㅜ,2017-01-02
현대인 자화상 담은 영화‘매기스 플랜’과‘단지 세상의 끝’@newsvop [여러분의 후원문자 큰힘이 됩니다.300원/건 http://gums.kr/20543  ] http://www.vop.co.kr/A00001105953.html …,2017-01-02
매기스 플랜! 에단호크 줄리안무어 그레타거윅  배우들 만으로도 기대되는 영화.,2017-01-02
