Date,Frequancy
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,1
2015-10-07,0
2015-10-08,0
2015-10-09,1
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,3
2015-10-15,2
2015-10-16,2
2015-10-17,1
2015-10-18,0
2015-10-19,2
2015-10-20,2
2015-10-21,15
2015-10-22,11
2015-10-23,37
2015-10-24,52
2015-10-25,50
2015-10-26,52
2015-10-27,52
2015-10-28,45
2015-10-29,37
2015-10-30,14
2015-10-31,13
2015-11-01,11
2015-11-02,7
2015-11-03,4
2015-11-04,10
2015-11-05,5
2015-11-06,2
2015-11-07,7
2015-11-08,4
2015-11-09,2
2015-11-10,1
2015-11-11,2
2015-11-12,3
2015-11-13,2
2015-11-14,2
2015-11-15,2
2015-11-16,0
2015-11-17,1
2015-11-18,1
2015-11-19,1
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,2
2015-11-25,1
2015-11-26,0
